title,description,size,price
Полка сетчатая ШС Циклон 1965,"

Вес, кг

						0.5					



Габариты, мм

						20x303x534					


",['20x303x534'],"
						1 006						
							 руб.							за 1 шт

"
Шкаф сушильный ШС Циклон 1985,"

Вес, кг

						68					



Габариты, мм

						1950x850x600					


",['1950x850x600'],"
						58 229						
							 руб.							за 1 шт

"
Ящик пластиковый Практик 100х105х45 синий,"

Вес, кг

						0.035					



Габариты, мм

						45x105x100					


",['45x105x100'],"
						83						
							 руб.							за 1 шт

"
Ящик пластиковый Практик 250х230х150 синий,"

Вес, кг

						0.33					



Габариты, мм

						150x230x250					


",['150x230x250'],"
						375						
							 руб.							за 1 шт

"
Кронштейн крепления двух экранов Profi M (2 шт.),"

Вес, кг

						3					



Габариты, мм

						1000x37x38					


",['1000x37x38'],"
						1 878						
							 руб.							за 1 шт

"
Комплект косынок для крепления экранов Profi M,"

Вес, кг

						3					



Габариты, мм

						500x180x40					


",['500x180x40'],"
						2 329						
							 руб.							за 1 шт

"
Комплект освещения Profi M,"

Вес, кг

						9					



Габариты, мм

						1102x1600x400					


",['1102x1600x400'],"
						18 532						
							 руб.							за 1 шт

"
Экран Profi M-200,"

Вес, кг

						11					



Габариты, мм

						500x2000x40					


",['500x2000x40'],"
						5 239						
							 руб.							за 1 шт

"
Экран Profi M-160,"

Вес, кг

						8.6					



Габариты, мм

						500x1600x40					


",['500x1600x40'],"
						4 237						
							 руб.							за 1 шт

"
Экран WS-200 без косынок,"

Вес, кг

						10.8					



Габариты, мм

						500x2000x20					


",['500x2000x20'],"
						3 911						
							 руб.							за 1 шт

"
Набор шестигранников Г-образных PSh (9 шт),"

Вес, кг

						0.381					



Габариты, мм

						-x-x-					


",[],"
						467						
							 руб.							за 1 шт

"
Набор отверток PSs (6шт),"

Вес, кг

						0.42					



Габариты, мм

						-x-x-					


",[],"
						350						
							 руб.							за 1 шт

"
Тиски слесарные TC-125,"

Вес, кг

						7.45					



Габариты, мм

						150x130x270					


",['150x130x270'],"
						6 185						
							 руб.							за 1 шт

"
Шкаф Profi WD,"

Вес, кг

						7					



Габариты, мм

						600x460x211					


",['600x460x211'],"
						5 397						
							 руб.							за 1 шт

"
Блок электророзеток EoB,"

Габариты, мм

						100x260x60					


",['100x260x60'],"
						4 399						
							 руб.							за 1 шт

"
Кронштейн крепления двух экранов WS (2 шт.),"

Вес, кг

						1					



Габариты, мм

						40x1050x20					


",['40x1050x20'],"
						1 232						
							 руб.							за 1 шт

"
Экран WS-180 без косынок,"

Вес, кг

						10					



Габариты, мм

						500x1800x20					


",['500x1800x20'],"
						3 518						
							 руб.							за 1 шт

"
Экран WS-160 без косынок,"

Вес, кг

						8					



Габариты, мм

						500x1600x20					


",['500x1600x20'],"
						3 143						
							 руб.							за 1 шт

"
Экран WS-140 без косынок,"

Вес, кг

						8					



Габариты, мм

						500x1400x20					


",['500x1400x20'],"
						2 725						
							 руб.							за 1 шт

"
Экран WS-120 без косынок,"

Вес, кг

						6					



Габариты, мм

						500x1200x20					


",['500x1200x20'],"
						2 500						
							 руб.							за 1 шт

"
Экран WS-60,"

Габариты, мм

						600x600x20					


",['600x600x20'],"
						1 476						
							 руб.							за 1 шт

"
Комплект разделителей Практик 400x185x100 (6 шт),"

Вес, кг

						0.04					



Габариты, мм

						85x175x-					


",['85x175x'],"
						421						
							 руб.							за 1 шт

"
Крючок-держатель HK 5,"

Вес, кг

						0.02					



Габариты, мм

						33x100x10					


",['33x100x10'],"
						475						
							 руб.							за 1 шт

"
Крючок НК 4,"

Габариты, мм

						60x25x60					


",['60x25x60'],"
						267						
							 руб.							за 1 шт

"
Держатель для сверл DH,"

Вес, кг

						0.3					



Габариты, мм

						45x200x50					


",['45x200x50'],"
						276						
							 руб.							за 1 шт

"
Держатель для бумажных полотенец PTH,"

Вес, кг

						0.4					



Габариты, мм

						92x360x126					


",['92x360x126'],"
						668						
							 руб.							за 1 шт

"
Лоток-держатель А4,"

Вес, кг

						0.7					



Габариты, мм

						200x300x60					


",['200x300x60'],"
						526						
							 руб.							за 1 шт

"
Держатель для пластикового ящика 200 SPBH,"

Габариты, мм

						89x190x13					


",['89x190x13'],"
						183						
							 руб.							за 1 шт

"
Держатель для пластикового ящика 1000 LPBH,"

Вес, кг

						0.45					



Габариты, мм

						87x1000x23					


",['87x1000x23'],"
						2 037						
							 руб.							за 1 шт

"
Держатель для торцевых головок 1/2 HeC,"

Вес, кг

						1.5					



Габариты, мм

						60x502x33					


",['60x502x33'],"
						1 269						
							 руб.							за 1 шт

"
Держатель для шестигранников HH,"

Вес, кг

						0.02					



Габариты, мм

						40x160x50					


",['40x160x50'],"
						234						
							 руб.							за 1 шт

"
Держатель для стретч плёнки HfSF,"

Вес, кг

						1					



Габариты, мм

						-x-x-					


",[],"
						1 377						
							 руб.							за 1 шт

"
Держатель инструмента TH,"

Вес, кг

						0.2					



Габариты, мм

						40x360x42					


",['40x360x42'],"
						342						
							 руб.							за 1 шт

"
Полка для баллончиков ScSh,"

Вес, кг

						0.3					



Габариты, мм

						70x270x70					


",['70x270x70'],"
						334						
							 руб.							за 1 шт

"
Держатель ключей WH,"

Вес, кг

						0.2					



Габариты, мм

						250x120x30					


",['250x120x30'],"
						334						
							 руб.							за 1 шт

"
Ящик пластиковый Практик ESD 400x185x100,"

Вес, кг

						0.53					



Габариты, мм

						100x185x400					


",['100x185x400'],"
						893						
							 руб.							за 1 шт

"
Полка большая LSh,"

Вес, кг

						0.7					



Габариты, мм

						70x530x151					


",['70x530x151'],"
						501						
							 руб.							за 1 шт

"
Полка малая SSh,"

Вес, кг

						0.4					



Габариты, мм

						70x327x151					


",['70x327x151'],"
						384						
							 руб.							за 1 шт

"
Ящик пластиковый Практик ESD 500x230x150,"

Вес, кг

						0.65					



Габариты, мм

						150x230x500					


",['150x230x500'],"
						1 344						
							 руб.							за 1 шт

"
Ящик пластиковый Практик ESD 400x230x150,"

Вес, кг

						0.38					



Габариты, мм

						150x230x400					


",['150x230x400'],"
						1 160						
							 руб.							за 1 шт

"
Ящик пластиковый Практик ESD 200x157x90,"

Вес, кг

						0.20					



Габариты, мм

						90x157x200					


",['90x157x200'],"
						451						
							 руб.							за 1 шт

"
Ящик пластиковый Практик ESD 170x105x80,"

Вес, кг

						0.16					



Габариты, мм

						80x105x170					


",['80x105x170'],"
						359						
							 руб.							за 1 шт

"
Верстак Profi (№605) WTS160.WD1/WD5.021,"

Вес, кг

						123					



Габариты, мм

						1866x1600x750					


",['1866x1600x750'],"
						66 619						
							 руб.							за 1 шт

"
Верстак Profi (№203) WT120.WD1/F1.010,"

Вес, кг

						64					



Габариты, мм

						1366x1200x700					


",['1366x1200x700'],"
						24 638						
							 руб.							за 1 шт

"
Верстак Profi (№ 108) WT100.F1/F1.000,"

Вес, кг

						37					



Габариты, мм

						866x1000x700					


",['866x1000x700'],"
						11 386						
							 руб.							за 1 шт

"
Верстак MASTER (№107) M100.MF1/MF1/MF1.000,"

Вес, кг

						40					



Габариты, мм

						875x2000x500					


",['875x2000x500'],По запросу
Верстак MASTER (№106) MT100.MF1/MF1.002,"

Вес, кг

						37					



Габариты, мм

						875x1000x500					


",['875x1000x500'],"
						12 188						
							 руб.							за 1 шт

"
Верстак MASTER (№105) MT100.MF1/MF1.201,"

Вес, кг

						47					



Габариты, мм

						875x1000x500					


",['875x1000x500'],По запросу
Верстак MASTER (№104) MT100.MF1/MF1.101,"

Вес, кг

						40					



Габариты, мм

						875x1000x500					


",['875x1000x500'],"
						14 275						
							 руб.							за 1 шт

"
Верстак MASTER (№103) MT100.MF1/MF1.100,"

Вес, кг

						35					



Габариты, мм

						875x1000x500					


",['875x1000x500'],"
						13 022						
							 руб.							за 1 шт

"
Верстак MASTER (№102) M100.MF1/MF1.000,"

Вес, кг

						24					



Габариты, мм

						875x1000x500					


",['875x1000x500'],"
						8 849						
							 руб.							за 1 шт

"
Верстак MASTER (№101) MT100.MF1/MF1.000,"

Вес, кг

						29					



Габариты, мм

						875x1000x500					


",['875x1000x500'],"
						9 683						
							 руб.							за 1 шт

"
Полка MS Standart 100х50,"

Габариты, мм

						-x1000x500					


",['x1000x500'],"
						1 012						
							 руб.							за 1 шт

"
Комплект косынок для крепления экранов WS,"

Вес, кг

						1					



Габариты, мм

						505x210x45					


",['505x210x45'],"
						835						
							 руб.							за 1 шт

"
Комплект боковых экранов Garage MS,"

Вес, кг

						3					



Габариты, мм

						500x398x20					


",['500x398x20'],"
						1 578						
							 руб.							за 1 шт

"
Комплект освещения W,"

Вес, кг

						4					



Габариты, мм

						1050x1000x370					


",['1050x1000x370'],"
						6 962						
							 руб.							за 1 шт

"
Ящик Garage,"

Вес, кг

						2					



Габариты, мм

						60x400x480					


",['60x400x480'],"
						1 357						
							 руб.							за 1 шт

"
Верстак Garage №115,"

Вес, кг

						35					



Габариты, мм

						1980x1000x500					


",['1980x1000x500'],"
						16 528						
							 руб.							за 1 шт

"
Инструментальная тумба Expert T-6,"

Вес, кг

						59					



Габариты, мм

						840x600x650					


",['840x600x650'],"
						73 272						
							 руб.							за 1 шт

"
Инструментальная тумба Expert T-1,"

Вес, кг

						46					



Габариты, мм

						840x600x650					


",['840x600x650'],"
						37 936						
							 руб.							за 1 шт

"
Ящик Profi WD-0,"

Вес, кг

						16.6					



Габариты, мм

						287x460x640					


",['287x460x640'],"
						8 348						
							 руб.							за 1 шт

"
Верстак Garage №114,"

Вес, кг

						30					



Габариты, мм

						1420x1000x500					


",['1420x1000x500'],"
						9 566						
							 руб.							за 1 шт

"
Верстак Garage №113,"

Вес, кг

						23					



Габариты, мм

						920x1000x500					


",['920x1000x500'],"
						7 730						
							 руб.							за 1 шт

"
Верстак Garage №112,"

Вес, кг

						20					



Габариты, мм

						920x1000x500					


",['920x1000x500'],"
						6 374						
							 руб.							за 1 шт

"
Верстак Garage №111,"

Вес, кг

						13.9					



Габариты, мм

						930x1013x515					


",['930x1013x515'],"
						6 077						
							 руб.							за 1 шт

"
Стул Pro Industrial с подлокотниками,"

Вес, кг

						15					



Габариты, мм

						950/1150x470x-					


",['1150x470x'],"
						20 151						
							 руб.							за 1 шт

"
Стул Pro Industrial без подлокотников,"

Вес, кг

						10					



Габариты, мм

						910/1190x470x-					


",['1190x470x'],"
						19 191						
							 руб.							за 1 шт

"
Табурет Pro Industrial,"

Вес, кг

						5					



Габариты, мм

						470/670x340x-					


",['670x340x'],"
						12 004						
							 руб.							за 1 шт

"
Верстак Garage Set 3,"

Вес, кг

						24.2					



Габариты, мм

						1800x915x450					


",['1800x915x450'],"
						10 723						
							 руб.							за 1 шт

"
Верстак Garage Set 2,"

Вес, кг

						32					



Габариты, мм

						1500x1000x500					


",['1500x1000x500'],"
						12 559						
							 руб.							за 1 шт

"
Верстак Garage Set 1,"

Вес, кг

						28					



Габариты, мм

						1500x1000x500					


",['1500x1000x500'],"
						12 559						
							 руб.							за 1 шт

"
