title,description,size,availability,price
Стеллаж металлический Профи-Т 2000х1240х1005 (4 перфорированные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2000х1240х1005
Вес, кг: 73
",['2000х1240х1005'],Есть в наличии,33 080 руб.
Стеллаж металлический Профи-Т 2000х1845х1005 (3 перфорированные оцинкованные мет. полки),"
ВхШхГ, мм: 2000х1845х1005
Вес, кг: 76
",['2000х1845х1005'],Есть в наличии,33 800 руб.
Стеллаж с пластиковыми ящиками А-01-02-06,"
ВхШхГ, мм: 1515х735х330
",['1515х735х330'],Есть в наличии,36 530 руб.
Стеллаж с пластиковыми ящиками C1 00-00-08,"
ВхШхГ, мм: 1515х1150х330
",['1515х1150х330'],Есть в наличии,44 610 руб.
Стеллаж грузовой СТСМ 4000х3600х1000 (3 яруса),"
ВхШхГ, мм: 4000х3600х1000
",['4000х3600х1000'],Есть в наличии,42 090 руб.
Стеллаж металлический Профи-Т 2500х1540х500 (4 сплошные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2500х1540х500
Вес, кг: 61
",['2500х1540х500'],Есть в наличии,24 250 руб.
Стеллаж металлический Профи-Т 2500х1845х455 (4 сплошные оцинкованные мет. полки),"
ВхШхГ, мм: 2500х1845х455
Вес, кг: 66
",['2500х1845х455'],Есть в наличии,25 500 руб.
Стеллаж металлический Профи-Т 3000х1845х500 (5 сплошных оцинкованных мет. полок),"
ВхШхГ, мм: 3000х1845х500
Вес, кг: 85
",['3000х1845х500'],Есть в наличии,35 820 руб.
Стеллаж металлический Профи-Т 3000х1540х455 (5 перфорированных оцинкованных мет. усиленных полок),"
ВхШхГ, мм: 3000х1540х455
Вес, кг: 73
",['3000х1540х455'],Есть в наличии,36 800 руб.
Стеллаж MS STRONG 2550х1500х300 (6 полок),"
ВхШхГ, мм: 2550х1500х300
Вес, кг: 32.44
",['2550х1500х300'],Есть в наличии,9 710 руб.
Стеллаж MS STRONG 2750х1000х700 (6 полок),"
ВхШхГ, мм: 2750х1000х700
Вес, кг: 39.22
",['2750х1000х700'],Есть в наличии,11 100 руб.
Стеллаж СФМ 3000х1250х600 (4 яруса с настилом) RAL,"
ВхШхГ, мм: 3000х1250х600
",['3000х1250х600'],Есть в наличии,15 700 руб.
Стеллаж металлический Профи-Т 3000х1540х770 (5 сплошных оцинкованных мет. полок),"
ВхШхГ, мм: 3000х1540х770
Вес, кг: 93
",['3000х1540х770'],Есть в наличии,39 200 руб.
Стеллаж металлический Профи-Т 3000х1240х1005 (6 перфорированных оцинкованных мет. полок),"
ВхШхГ, мм: 3000х1240х1005
Вес, кг: 108
",['3000х1240х1005'],Есть в наличии,53 270 руб.
Стеллаж SGR-V-Zn 18104-2.5,"
ВхШхГ, мм: 2500х1800х1000
Вес, кг: 102
",['2500х1800х1000'],Есть в наличии,37 840 руб.
Стеллаж металлический ТС Лайт 2200х700х800 (4 перфорированные полки),"
ВхШхГ, мм: 2200х700х800
Вес, кг: 20
",['2200х700х800'],Есть в наличии,12 030 руб.
"Стеллаж торговый островной стенка-сетка 1750х695х1070 (10 полок 226, 300, 500)","
ВхШхГ, мм: 1750х695х1070
",['1750х695х1070'],Нет в наличии,18 920 руб.
Стеллаж односторонний №3 (1835х950х510),"
ВхШхГ, мм: 1835х950х510
Вес, кг: 85
",['1835х950х510'],Есть в наличии,60 390 руб.
Стеллаж с пластиковыми ящиками 1801-6/7/1 Kombo,"
ВхШхГ, мм: 1800х1000х360
",['1800х1000х360'],Есть в наличии,27 460 руб.
Стеллаж МС-500 1800х700х300 (5 полок МС-100),"
ВхШхГ, мм: 1800х700х300
",['1800х700х300'],Есть в наличии,4 070 руб.
"Стеллаж ТИТАН МС-Т 3000х1855х635 (5 ярусов, настил фанера)","
ВхШхГ, мм: 3000х1855х635
",['3000х1855х635'],Есть в наличии,24 810 руб.
Стеллаж металлический ТС Лайт 2500х700х300 (5 полок),"
ВхШхГ, мм: 2500х700х300
Вес, кг: 14
",['2500х700х300'],Есть в наличии,6 670 руб.
Стеллаж MS STRONG 2000х1200х600 (6 полок),"
ВхШхГ, мм: 2000х1200х600
Вес, кг: 34.96
",['2000х1200х600'],Есть в наличии,11 240 руб.
Стеллаж MS STRONG 2200х1200х400 (5 полок),"
ВхШхГ, мм: 2200х1200х400
Вес, кг: 24.96
",['2200х1200х400'],Есть в наличии,7 640 руб.
Стеллаж MS STRONG 3100х1000х600 (5 полок),"
ВхШхГ, мм: 3100х1000х600
Вес, кг: 30.86
",['3100х1000х600'],Есть в наличии,8 520 руб.
Стеллаж СФМ 2500х1250х1000 (4 яруса без настила) RAL,"
ВхШхГ, мм: 2500х1250х1000
",['2500х1250х1000'],Есть в наличии,9 220 руб.
Стеллаж СФМ 3500х1250х800 (3 яруса без настила) RAL,"
ВхШхГ, мм: 3500х1250х800
",['3500х1250х800'],Есть в наличии,10 340 руб.
Стеллаж СФМ 2500х1250х600 (3 яруса без настила) Цинк,"
ВхШхГ, мм: 2500х1250х600
",['2500х1250х600'],Есть в наличии,7 230 руб.
Стеллаж СФМ 3500х2000х1000 (4 яруса с настилом) RAL,"
ВхШхГ, мм: 3500х2000х1000
",['3500х2000х1000'],Есть в наличии,29 570 руб.
Стеллаж металлический Профи-Т 2000х1240х655 (4 сплошные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2000х1240х655
Вес, кг: 57
",['2000х1240х655'],Есть в наличии,22 800 руб.
Стеллаж односторонний №26 (1835х950х510),"
ВхШхГ, мм: 1835х950х510
Вес, кг: 75
",['1835х950х510'],Есть в наличии,54 780 руб.
Стеллаж с пластиковыми ящиками А-00-04-04,"
ВхШхГ, мм: 1515х735х330
",['1515х735х330'],Есть в наличии,34 280 руб.
Стеллаж с пластиковыми ящиками 1801-4/3/5 Kombo,"
ВхШхГ, мм: 1800х1000х360
",['1800х1000х360'],Есть в наличии,26 330 руб.
Стеллаж настенный №187 (1370х950х63),"
ВхШхГ, мм: 1370х950х63
Вес, кг: 53
",['1370х950х63'],Есть в наличии,38 350 руб.
Стеллаж МС-500 1500х1000х600 (5 полок МС-100),"
ВхШхГ, мм: 1500х1000х600
",['1500х1000х600'],Есть в наличии,6 630 руб.
"Стеллаж ТИТАН МС-Т 2000х1855х785 (4 яруса, настил фанера)","
ВхШхГ, мм: 2000х1855х785
",['2000х1855х785'],Есть в наличии,19 340 руб.
Стеллаж металлический ТС Лайт 2200х1000х300 (4 перфорированные полки),"
ВхШхГ, мм: 2200х1000х300
Вес, кг: 16
",['2200х1000х300'],Есть в наличии,8 330 руб.
Стеллаж СФМ 2000х1750х800 (2 яруса без настила) RAL,"
ВхШхГ, мм: 2000х1750х800
",['2000х1750х800'],Есть в наличии,7 090 руб.
Стеллаж СФМ 4000х1500х1000 (4 яруса без настила) RAL,"
ВхШхГ, мм: 4000х1500х1000
",['4000х1500х1000'],Есть в наличии,13 030 руб.
Стеллаж СФМ 2000х1250х800 (4 яруса с настилом) Цинк,"
ВхШхГ, мм: 2000х1250х800
",['2000х1250х800'],Есть в наличии,14 770 руб.
Стеллаж СФМ 3500х1500х800 (4 яруса с настилом) Цинк,"
ВхШхГ, мм: 3500х1500х800
",['3500х1500х800'],Есть в наличии,19 400 руб.
Стеллаж СФМ 4000х2000х600 (3 яруса с настилом) Цинк,"
ВхШхГ, мм: 4000х2000х600
",['4000х2000х600'],Есть в наличии,17 640 руб.
Стеллаж СФМ 2000х1250х600 (2 яруса с настилом) RAL,"
ВхШхГ, мм: 2000х1250х600
",['2000х1250х600'],Есть в наличии,9 370 руб.
Стеллаж СФМ 3500х1500х800 (3 яруса с настилом) RAL,"
ВхШхГ, мм: 3500х1500х800
",['3500х1500х800'],Есть в наличии,18 160 руб.
Стеллаж металлический Профи-Т 2500х1845х770 (4 сплошные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2500х1845х770
Вес, кг: 86
",['2500х1845х770'],Есть в наличии,33 220 руб.
