title,size,price
"
Верстак ВП-2/1.6
","[<a class=""spec"">Вес(кг): <span>62</span></a>, <a class=""spec"">Габариты: <span>860x1600x685</span></a>]","
Под заказ
"
"
Верстак - ВП-2/1.2
","[<a class=""spec"">Вес(кг): <span>54</span></a>, <a class=""spec"">Габариты: <span>860x1200x685</span></a>]","
Под заказ
"
"
Верстак Garage №112
","[<a class=""spec"">Вес(кг): <span>20</span></a>, <a class=""spec"">Габариты: <span>920x1000x500</span></a>]","
 7 788 руб.
"
"
Верстак Garage №113
","[<a class=""spec"">Вес(кг): <span>23</span></a>, <a class=""spec"">Габариты: <span>920x1000x500</span></a>]","
 9 445 руб.
"
"
Верстак Garage №114
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>1420x1010x500</span></a>]","
 11 689 руб.
"
"
Верстак - ВП-1
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>860x1000x685</span></a>]","
 15 197 руб.
"
"
Верстак ПРАКТИК PROFI (№201) WT120.WD1/F1.000
","[<a class=""spec"">Вес(кг): <span>45</span></a>, <a class=""spec"">Габариты: <span>866x1200x700</span></a>]","
 22 491 руб.
"
"
Верстак ПРАКТИК PROFI (№400) WT140.WD1/F1.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1400x700</span></a>]","
 25 051 руб.
"
"
Верстак ПРАКТИК PROFI (№ 202) WT120.WD5/F1.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1200x700</span></a>]","
 32 717 руб.
"
"
Верстак ПРАКТИК PROFI (№602) WT160.WD1/WD1.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1600x700</span></a>]","
 32 966 руб.
"
"
Верстак ПРАКТИК PROFI (№401) WT140.WD5/F1.000
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>866x1400x700</span></a>]","
 35 277 руб.
"
"
Верстак ПРАКТИК PROFI (№603) WT160.WD1/WD5.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1600x700</span></a>]","
 43 192 руб.
"
"
Верстак ВП-4Т/1.6
","[<a class=""spec"">Вес(кг): <span>93</span></a>, <a class=""spec"">Габариты: <span>860x1600x685</span></a>]","
 44 016 руб.
"
"
Верстак усиленный Expert (№606) WTH160.F2/F2.000
","[<a class=""spec"">Вес(кг): <span>75</span></a>, <a class=""spec"">Габариты: <span>870x1600x700</span></a>]","
 46 864 руб.
"
"
Верстак усиленный Expert (№222) W200.F2/F2.011
","[<a class=""spec"">Вес(кг): <span>70</span></a>, <a class=""spec"">Габариты: <span>1370x2000x700</span></a>]","
 52 918 руб.
"
"
Верстак ПРАКТИК PROFI (№604) WT160.WD5/WD5.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1600x700</span></a>]","
 53 417 руб.
"
"
Тумба инструментальная WS-1
","[<a class=""spec"">Вес(кг): <span>38</span></a>, <a class=""spec"">Габариты: <span>840x460x640</span></a>]","
Под заказ
"
"
Тумба инструментальная WD-1
","[<a class=""spec"">Вес(кг): <span>22</span></a>, <a class=""spec"">Габариты: <span>840x460x640</span></a>]","
 10 787 руб.
"
"
Тумба инструментальная WD-2
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>840x460x640</span></a>]","
 15 173 руб.
"
"
Тумба инструментальная WD-5
","[<a class=""spec"">Вес(кг): <span>38</span></a>, <a class=""spec"">Габариты: <span>840x460x640</span></a>]","
 21 012 руб.
"
"
Тумба инструментальная WS-6
","[<a class=""spec"">Вес(кг): <span>38</span></a>, <a class=""spec"">Габариты: <span>840x460x640</span></a>]","
 66 805 руб.
"
"
Тележка инструментальная GARAGE BIG
","[<a class=""spec"">Вес(кг): <span>49</span></a>, <a class=""spec"">Габариты: <span>1930x722x515</span></a>]","
Под заказ
"
"
Тележка инструментальная WDS-6.0
","[<a class=""spec"">Вес(кг): <span>64</span></a>, <a class=""spec"">Габариты: <span>905x860x540</span></a>]","
Под заказ
"
"
Тележка инструментальная WDS-9.0
","[<a class=""spec"">Вес(кг): <span>64</span></a>, <a class=""spec"">Габариты: <span>905x860x540</span></a>]","
Под заказ
"
"
Тележка инструментальная WDS-0
","[<a class=""spec"">Вес(кг): <span>19</span></a>, <a class=""spec"">Габариты: <span>868x821x457</span></a>]","
 13 770 руб.
"
"
Тележка инструментальная WDS HARD
","[<a class=""spec"">Вес(кг): <span>49</span></a>, <a class=""spec"">Габариты: <span>820x820x450</span></a>]","
 26 183 руб.
"
"
Тележка инструментальная WDS-4
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>820x820x518</span></a>]","
 29 937 руб.
"
"
Тележка инструментальная WDS-5
","[<a class=""spec"">Вес(кг): <span>46</span></a>, <a class=""spec"">Габариты: <span>868x821x453</span></a>]","
 31 416 руб.
"
"
Тележка инструментальная WDS-3.0
","[<a class=""spec"">Вес(кг): <span>64</span></a>, <a class=""spec"">Габариты: <span>905x860x540</span></a>]","
 47 119 руб.
"
"
Тележка инструментальная WDS-5.0
","[<a class=""spec"">Вес(кг): <span>64</span></a>, <a class=""spec"">Габариты: <span>905x860x540</span></a>]","
 53 851 руб.
"
"
Перфорированный экран Э -1.9
","[<a class=""spec"">Вес(кг): <span>9</span></a>, <a class=""spec"">Габариты: <span>500x1900x40</span></a>]","
Под заказ
"
"
Держатель для ключей ПАКС
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>250x80x25</span></a>]","
 171 руб.
"
"
Держатель для инструмента ПАКС
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>80x315x25</span></a>]","
 192 руб.
"
"
Крючок НК
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>xx</span></a>]","
 214 руб.
"
"
Полка YK ПАКС
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>155x280x25</span></a>]","
 218 руб.
"
"
Полка для баллончиков ScSh
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>70x270x70</span></a>]","
 408 руб.
"
"
Держатель ключей WH
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>250x70x120</span></a>]","
 408 руб.
"
"
Полка YD ПАКС
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>155x583x25</span></a>]","
 419 руб.
"
"
Полка малая SSh
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>136x270x70</span></a>]","
 469 руб.
"
"
Полка большая LSh
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>30x580x120</span></a>]","
 612 руб.
"
"
Лоток-держатель А4
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>300x200x60</span></a>]","
 643 руб.
"
"
Держатель для полотенец
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>360x92x126</span></a>]","
 816 руб.
"
"
Экран WS-120 без косынок
","[<a class=""spec"">Вес(кг): <span>10</span></a>, <a class=""spec"">Габариты: <span>500x1200x240</span></a>]","
 3 055 руб.
"
"
Перфорированный экран Э -1.4
","[<a class=""spec"">Вес(кг): <span>8</span></a>, <a class=""spec"">Габариты: <span>500x1000x40</span></a>]","
 3 158 руб.
"
"
Экран WS-140 без косынок
","[<a class=""spec"">Вес(кг): <span>10</span></a>, <a class=""spec"">Габариты: <span>500x1400x240</span></a>]","
 3 330 руб.
"
"
Экран WS-160 без косынок
","[<a class=""spec"">Вес(кг): <span>11</span></a>, <a class=""spec"">Габариты: <span>500x1600x240</span></a>]","
 3 840 руб.
"
"
Экран WS-180 без косынок
","[<a class=""spec"">Вес(кг): <span>12</span></a>, <a class=""spec"">Габариты: <span>500x1800x240</span></a>]","
 4 299 руб.
"
"
Блок электророзеток
","[<a class=""spec"">Вес(кг): <span>2</span></a>, <a class=""spec"">Габариты: <span>105x265x60</span></a>]","
 5 375 руб.
"
"
Шкаф инструментальный TC-1947-000200ГК
","[<a class=""spec"">Вес(кг): <span>37</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 20 660 руб.
"
"
Шкаф инструментальный TC-1947-000400
","[<a class=""spec"">Вес(кг): <span>37</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 22 415 руб.
"
"
Шкаф инструментальный TC-1947-020300
","[<a class=""spec"">Вес(кг): <span>41</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 23 113 руб.
"
"
Шкаф инструментальный TC-1947-000201ГК
","[<a class=""spec"">Вес(кг): <span>40</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 25 143 руб.
"
