title,size,price
"
Офисный шкаф AMT 1812
","[<a class=""spec"">Вес(кг): <span>66</span></a>, <a class=""spec"">Габариты: <span>1830x1215x458 </span></a>]","
 43 207 руб.
"
"
Офисный шкаф VALBERG AMH 1891
","[<a class=""spec"">Вес(кг): <span>108</span></a>, <a class=""spec"">Габариты: <span>1830x921x460</span></a>]","
 75 781 руб.
"
"
Архивный шкаф - ШАМ-0,5
","[<a class=""spec"">Вес(кг): <span>24</span></a>, <a class=""spec"">Габариты: <span>930x850x500</span></a>]","
Под заказ
"
"
Многоящичный шкаф МДC-A3/650/4 (под заказ)
","[<a class=""spec"">Вес(кг): <span>18</span></a>, <a class=""spec"">Габариты: <span>650x347x546</span></a>]","
Под заказ
"
"
Многоящичный шкаф МДC-A4/910/15 (под заказ)
","[<a class=""spec"">Вес(кг): <span>36</span></a>, <a class=""spec"">Габариты: <span>910x347x546</span></a>]","
Под заказ
"
"
Многоящичный шкаф МДC-A4/910/9 (под заказ)
","[<a class=""spec"">Вес(кг): <span>23</span></a>, <a class=""spec"">Габариты: <span>910x277x405</span></a>]","
Под заказ
"
"
Многоящичный шкаф MDC-A3/910/15 (под заказ)
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>910x277x405</span></a>]","
Под заказ
"
"
Многоящичный шкаф МДC-A4/650/10 (под заказ)
","[<a class=""spec"">Вес(кг): <span>17</span></a>, <a class=""spec"">Габариты: <span>650x277x405</span></a>]","
Под заказ
"
"
Многоящичный шкаф МДC-A4/315/5 (под заказ)
","[<a class=""spec"">Вес(кг): <span>8</span></a>, <a class=""spec"">Габариты: <span>314x277x405</span></a>]","
Под заказ
"
"
Картотека ПРАКТИК AMF 1091/3
","[<a class=""spec"">Вес(кг): <span>38</span></a>, <a class=""spec"">Габариты: <span>998x915x460</span></a>]","
Под заказ
"
"
Картотека А-42
","[<a class=""spec"">Вес(кг): <span>21</span></a>, <a class=""spec"">Габариты: <span>685x408x480</span></a>]","
 17 753 руб.
"
"
Картотека BFC-66/3
","[<a class=""spec"">Вес(кг): <span>24</span></a>, <a class=""spec"">Габариты: <span>660x480x490</span></a>]","
 18 579 руб.
"
"
Картотека AFC-02
","[<a class=""spec"">Вес(кг): <span>28</span></a>, <a class=""spec"">Габариты: <span>713x467x630</span></a>]","
 19 365 руб.
"
"
Картотека А-43
","[<a class=""spec"">Вес(кг): <span>29</span></a>, <a class=""spec"">Габариты: <span>995x408x480</span></a>]","
 23 547 руб.
"
"
Картотека AFC-03
","[<a class=""spec"">Вес(кг): <span>39</span></a>, <a class=""spec"">Габариты: <span>1020x467x630</span></a>]","
 27 933 руб.
"
"
Картотека А-44
","[<a class=""spec"">Вес(кг): <span>38</span></a>, <a class=""spec"">Габариты: <span>1305x408x480</span></a>]","
 29 646 руб.
"
"
Картотека AFC-04
","[<a class=""spec"">Вес(кг): <span>50</span></a>, <a class=""spec"">Габариты: <span>1330x470x630</span></a>]","
 34 461 руб.
"
"
Картотека AFC-05
","[<a class=""spec"">Вес(кг): <span>22</span></a>, <a class=""spec"">Габариты: <span>1634x467x630</span></a>]","
 39 882 руб.
"
"
Картотека AFC-06
","[<a class=""spec"">Вес(кг): <span>62</span></a>, <a class=""spec"">Габариты: <span>1327x553x631</span></a>]","
 41 718 руб.
"
"
Картотека AFC-07
","[<a class=""spec"">Вес(кг): <span>71</span></a>, <a class=""spec"">Габариты: <span>1327x515x631</span></a>]","
 46 206 руб.
"
"
Шкаф большого формата ПРАКТИК A1-05/0
","[<a class=""spec"">Вес(кг): <span>63</span></a>, <a class=""spec"">Габариты: <span>415x995x675</span></a>]","
Под заказ
"
"
Тумба мобильная BFC-70/4
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>710x480x490</span></a>]","
Под заказ
"
"
Тумба мобильная BA4-65/3 (AP-2)
","[<a class=""spec"">Вес(кг): <span>23</span></a>, <a class=""spec"">Габариты: <span>653x420x494</span></a>]","
Под заказ
"
"
Шкаф большого формата ПРАКТИК A1-05/3
","[<a class=""spec"">Вес(кг): <span>62</span></a>, <a class=""spec"">Габариты: <span>465x995x675</span></a>]","
 54 366 руб.
"
"
Шкаф большого формата ПРАКТИК A1-05/2
","[<a class=""spec"">Вес(кг): <span>58</span></a>, <a class=""spec"">Габариты: <span>389x995x675</span></a>]","
 54 366 руб.
"
"
Шкаф большого формата ПРАКТИК A1-05/1
","[<a class=""spec"">Вес(кг): <span>63</span></a>, <a class=""spec"">Габариты: <span>415x995x675</span></a>]","
 54 366 руб.
"
"
Шкаф большого формата ПРАКТИК А0-05/0
","[<a class=""spec"">Вес(кг): <span>107</span></a>, <a class=""spec"">Габариты: <span>465x1330x920</span></a>]","
 84 864 руб.
"
"
Шкаф большого формата ПРАКТИК А0-05/3
","[<a class=""spec"">Вес(кг): <span>107</span></a>, <a class=""spec"">Габариты: <span>465x1330x920</span></a>]","
 84 864 руб.
"
"
Шкаф большого формата ПРАКТИК А0-05/2
","[<a class=""spec"">Вес(кг): <span>102</span></a>, <a class=""spec"">Габариты: <span>389x1330x920</span></a>]","
 84 864 руб.
"
"
Шкаф большого формата ПРАКТИК А0-05/1
","[<a class=""spec"">Вес(кг): <span>115</span></a>, <a class=""spec"">Габариты: <span>415x1330x920</span></a>]","
 84 864 руб.
"
"
Огнестойкая картотека VALBERG FC 4K-KK
","[<a class=""spec"">Вес(кг): <span>210</span></a>, <a class=""spec"">Габариты: <span>1500x545x653</span></a>]","
 127 888 руб.
"
"
Огнестойкая картотека VALBERG FC 4E-KK
","[<a class=""spec"">Вес(кг): <span>210</span></a>, <a class=""spec"">Габариты: <span>1500x545x653</span></a>]","
 133 987 руб.
"
"
Шкаф инструментальный TC-1095
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
Под заказ
"
"
Шкаф инструментальный TC-1947-000200ГК
","[<a class=""spec"">Вес(кг): <span>37</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 20 660 руб.
"
"
Шкаф инструментальный TC-1947-000400
","[<a class=""spec"">Вес(кг): <span>37</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 22 415 руб.
"
"
Шкаф инструментальный TC-1947-020300
","[<a class=""spec"">Вес(кг): <span>41</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 23 113 руб.
"
"
Шкаф инструментальный ТС 1095-002000
","[<a class=""spec"">Вес(кг): <span>41</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 23 883 руб.
"
"
Шкаф инструментальный TC-1947-000201ГК
","[<a class=""spec"">Вес(кг): <span>40</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 25 143 руб.
"
"
Шкаф инструментальный TC-1947-020301
","[<a class=""spec"">Вес(кг): <span>45</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 27 596 руб.
"
"
Шкаф инструментальный ТС 1095-001010
","[<a class=""spec"">Вес(кг): <span>46</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 29 045 руб.
"
"
Шкаф инструментальный TC-1947-000202ГК
","[<a class=""spec"">Вес(кг): <span>44</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 29 626 руб.
"
"
Шкаф инструментальный TC-1947-020202
","[<a class=""spec"">Вес(кг): <span>47</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 30 962 руб.
"
"
Шкаф инструментальный ТС 1095-021010
","[<a class=""spec"">Вес(кг): <span>54</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 31 564 руб.
"
"
Шкаф инструментальный ТС 1095-100302
","[<a class=""spec"">Вес(кг): <span>51</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 34 746 руб.
"
"
Шкаф инструментальный TC-1995/2-102200
","[<a class=""spec"">Вес(кг): <span>66</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 37 332 руб.
"
"
Шкаф инструментальный ТС 1995-023000
","[<a class=""spec"">Вес(кг): <span>74</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 38 648 руб.
"
"
Шкаф инструментальный TС 1095-021020
","[<a class=""spec"">Вес(кг): <span>63</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 38 852 руб.
"
"
Шкаф инструментальный TC-1995/2-102400
","[<a class=""spec"">Вес(кг): <span>72</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 41 249 руб.
"
"
Шкаф инструментальный ТС 1095-001030
","[<a class=""spec"">Вес(кг): <span>55</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 43 620 руб.
"
"
Шкаф инструментальный TC-1947-000305
","[<a class=""spec"">Вес(кг): <span>56</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 43 712 руб.
"
"
Шкаф инструментальный TC-1995/2-024010
","[<a class=""spec"">Вес(кг): <span>77</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 46 359 руб.
"
"
Шкаф инструментальный ТС 1995-120402
","[<a class=""spec"">Вес(кг): <span>85</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 50 184 руб.
"
"
Шкаф инструментальный TC 1995-004020
","[<a class=""spec"">Вес(кг): <span>80</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 51 128 руб.
"
"
Шкаф инструментальный ТС 1095-100206
","[<a class=""spec"">Вес(кг): <span>61</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 51 561 руб.
"
"
Шкаф инструментальный TC 1995-042020
","[<a class=""spec"">Вес(кг): <span>96</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 51 913 руб.
"
