title,size,price
"
СТЕЛЛАЖ SB 300X152X76/5
","[<a class=""spec"">Вес(кг): <span>77</span></a>, <a class=""spec"">Габариты: <span>3000x1525x760</span></a>]","
 29 106 руб.
"
"
СТЕЛЛАЖ SB 300X183X61/6
","[<a class=""spec"">Вес(кг): <span>90</span></a>, <a class=""spec"">Габариты: <span>3000x1830x610</span></a>]","
 36 520 руб.
"
"
СТЕЛЛАЖ SBL 180KD/75X35/5
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>1803x750x350</span></a>]","
 6 314 руб.
"
"
СТЕЛЛАЖ SBL 180KD/90X40/5
","[<a class=""spec"">Вес(кг): <span>17</span></a>, <a class=""spec"">Габариты: <span>1803x900x400</span></a>]","
 6 865 руб.
"
"
СТЕЛЛАЖ SBL 180KD/90X45/5
","[<a class=""spec"">Вес(кг): <span>22</span></a>, <a class=""spec"">Габариты: <span>1803x900x450</span></a>]","
 7 538 руб.
"
"
Стеллаж Скандинавия 14 (белый)
","[<a class=""spec"">Вес(кг): <span>7</span></a>, <a class=""spec"">Габариты: <span>1470x4500x385</span></a>]","
 4 200 руб.
"
"
Стеллаж Скандинавия 14 (черный)
","[<a class=""spec"">Вес(кг): <span>7</span></a>, <a class=""spec"">Габариты: <span>1470x4500x385</span></a>]","
 4 200 руб.
"
"
Стеллаж Скандинавия 24 (белый)
","[<a class=""spec"">Вес(кг): <span>9</span></a>, <a class=""spec"">Габариты: <span>1470x6500x385</span></a>]","
 4 720 руб.
"
"
Стеллаж Скандинавия 24 (черный)
","[<a class=""spec"">Вес(кг): <span>9</span></a>, <a class=""spec"">Габариты: <span>1470x6500x385</span></a>]","
 4 720 руб.
"
"
Стеллаж Валенсия 14 (черный)
","[<a class=""spec"">Вес(кг): <span>4</span></a>, <a class=""spec"">Габариты: <span>1205x455x300</span></a>]","
 2 750 руб.
"
"
Стеллаж Валенсия 13 (черный)
","[<a class=""spec"">Вес(кг): <span>3</span></a>, <a class=""spec"">Габариты: <span>855x455x300</span></a>]","
 2 280 руб.
"
"
Лоток складской пластиковый 12.401
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>75x100x</span></a>]","
 120 руб.
"
"
Лоток складской пластиковый 12.402
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>130x150x</span></a>]","
 230 руб.
"
"
Лоток складской пластиковый 12.412
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>150x225x</span></a>]","
 460 руб.
"
"
Лоток складской пластиковый 12.403
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>150x225x</span></a>]","
 465 руб.
"
"
Лоток складской пластиковый 12.414
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>150x225x</span></a>]","
 590 руб.
"
"
Лоток складской пластиковый 12.406
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>200x300x</span></a>]","
 600 руб.
"
"
Лоток складской пластиковый 12.404
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>200x225x</span></a>]","
 610 руб.
"
"
Лоток складской пластиковый 12.405
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>150x225x</span></a>]","
 630 руб.
"
"
Лоток складской пластиковый 12.407
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>250x300x</span></a>]","
 860 руб.
"
"
Стеллаж для склада, 1600*1000*400 мм, 3 полки
","[<a class=""spec"">Вес(кг): <span>16</span></a>, <a class=""spec"">Габариты: <span>1600x1000x400</span></a>]","
 4 785 руб.
"
"
Стеллаж складской 1850*1000*300 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>20</span></a>, <a class=""spec"">Габариты: <span>1850x1000x300</span></a>]","
 5 224 руб.
"
"
Стеллаж складской 2000*700*400 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>15</span></a>, <a class=""spec"">Габариты: <span>2000x700x400</span></a>]","
 5 340 руб.
"
"
Стеллаж складской 2000*1000*300 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>18</span></a>, <a class=""spec"">Габариты: <span>2000x1000x300</span></a>]","
 5 480 руб.
"
"
Стеллаж складской 2000*1000*400 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>17</span></a>, <a class=""spec"">Габариты: <span>2000x1000x400</span></a>]","
 6 172 руб.
"
"
Стеллаж складской 2000*1000*300 мм, 5 полок
","[<a class=""spec"">Вес(кг): <span>24</span></a>, <a class=""spec"">Габариты: <span>2000x1000x300</span></a>]","
 6 294 руб.
"
"
Стеллаж складской 2200*1000*400 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>25</span></a>, <a class=""spec"">Габариты: <span>2200x1000x400</span></a>]","
 6 460 руб.
"
"
Стеллаж складской 1800*1000*400 мм, 5 полок
","[<a class=""spec"">Вес(кг): <span>20</span></a>, <a class=""spec"">Габариты: <span>1800x1000x400</span></a>]","
 6 999 руб.
"
"
Стеллаж складской 2200*1000*500 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>20</span></a>, <a class=""spec"">Габариты: <span>2200x1000x500</span></a>]","
 7 108 руб.
"
"
Стеллаж складской 2500*1000*300 мм, 6 полок
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>2500x1000x300</span></a>]","
 7 664 руб.
"
"
Стеллаж складской 2500*1000*400 мм, 6 полок
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>2500x1000x400</span></a>]","
 8 702 руб.
"
"
Стеллаж складской 2000*1200*400 мм, 5 полок
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>2000x1200x400</span></a>]","
 8 929 руб.
"
"
Стеллаж складской 2000*1200*500 мм, 5 полок
","[<a class=""spec"">Вес(кг): <span>25</span></a>, <a class=""spec"">Габариты: <span>2000x1200x500</span></a>]","
 10 409 руб.
"
"
Стеллаж для склада 1500*1400*300 мм, 2 секции, 8 полок
","[<a class=""spec"">Вес(кг): <span>28</span></a>, <a class=""spec"">Габариты: <span>1500x1400x300</span></a>]","
 8 024 руб.
"
"
Стеллаж складской 1850*2000*400 мм, 8 полок, 2 секции
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1850x2000x400</span></a>]","
 10 848 руб.
"
"
Стеллаж для склада 2000*2000*500 мм, 2 секции, 10 полок
","[<a class=""spec"">Вес(кг): <span>32</span></a>, <a class=""spec"">Габариты: <span>2000x2000x500</span></a>]","
 14 826 руб.
"
"
Стеллаж для склада 2200*2400*400 мм, 10 полок, 2 секции
","[<a class=""spec"">Вес(кг): <span>36</span></a>, <a class=""spec"">Габариты: <span>2200x2400x400</span></a>]","
 17 178 руб.
"
"
Стеллаж для склада 2200*2400*300 мм, 12 полок, 2 секции
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>2200x2400x300</span></a>]","
 17 724 руб.
"
"
Стеллаж для склада 2350*2400*500 мм, 12 полок, 2 секции
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>2350x2400x500</span></a>]","
 23 400 руб.
"
"
Стеллаж для склада 2200*3000*400 мм, 15 полок, 3 секции
","[<a class=""spec"">Вес(кг): <span>53</span></a>, <a class=""spec"">Габариты: <span>2200x3000x400</span></a>]","
 19 829 руб.
"
"
Стеллаж для склада 2000*3600*400 мм, 12 полок, 3 секции
","[<a class=""spec"">Вес(кг): <span>45</span></a>, <a class=""spec"">Габариты: <span>2000x3600x400</span></a>]","
 20 540 руб.
"
"
Стеллаж для склада 2500*4500*300 мм, 15 полок, 3 секции
","[<a class=""spec"">Вес(кг): <span>53</span></a>, <a class=""spec"">Габариты: <span>2500x4500x300</span></a>]","
 27 595 руб.
"
"
Стеллаж для склада 2300*4500*500 мм, 12 полок, 3 секции
","[<a class=""spec"">Вес(кг): <span>55</span></a>, <a class=""spec"">Габариты: <span>2300x4500x500</span></a>]","
 29 524 руб.
"
