title,price,category,shop,height,width,depth
Шкаф медицинский ШМ 1-2Т (0.8),"
Под заказ
",Медицинская мебель,Секретсервис,1605,450,400
Шкаф медицинский ШМ 1-2А2,"
Под заказ
",Медицинская мебель,Секретсервис,1860,600,400
Шкаф медицинский ШМ 1-2ВМ,"
Под заказ
",Медицинская мебель,Секретсервис,1785,435,400
Шкаф медицинский ШМ 1-1,"
Под заказ
",Медицинская мебель,Секретсервис,1605,435,400
Шкаф медицинский ШМ 1-2,"
Под заказ
",Медицинская мебель,Секретсервис,1605,435,400
Шкаф медицинский ШМ 1-2 МЯ,"
Под заказ
",Медицинская мебель,Секретсервис,1605,435,400
Шкаф медицинский ШМ 1-2 Я,"
Под заказ
",Медицинская мебель,Секретсервис,1605,435,400
Шкаф медицинский ПРАКТИК MED 1 1650/SG,"
 16 509 руб.
",Медицинская мебель,Секретсервис,1755,500,320
Шкаф медицинский ПРАКТИК MED 1 1650/SS,"
 16 509 руб.
",Медицинская мебель,Секретсервис,1755,500,320
Шкаф медицинский ПРАКТИК MED 1 1657/SS,"
 16 958 руб.
",Медицинская мебель,Секретсервис,1755,570,320
Шкаф медицинский ПРАКТИК MED 1 1657/SG,"
 16 958 руб.
",Медицинская мебель,Секретсервис,1755,570,320
Шкаф медицинский ПРАКТИК MED 2 1670/SG,"
 17 927 руб.
",Медицинская мебель,Секретсервис,1755,700,320
Шкаф медицинский ПРАКТИК MED 2 1670/SS,"
 17 927 руб.
",Медицинская мебель,Секретсервис,1755,700,320
Шкаф медицинский ПРАКТИК MED 1 1760/SS,"
 20 589 руб.
",Медицинская мебель,Секретсервис,1850,600,400
Шкаф медицинский ПРАКТИК MED 1 1760/SG,"
 20 589 руб.
",Медицинская мебель,Секретсервис,1850,600,400
Шкаф медицинский ПРАКТИК MED 2 1780/SS,"
 22 486 руб.
",Медицинская мебель,Секретсервис,1850,800,400
Столик СП-02М,"
Под заказ
",Медицинская мебель,Секретсервис,875,960,450
Столик СП-02ДН,"
Под заказ
",Медицинская мебель,Секретсервис,875,760,410
Столик СП-02Н,"
Под заказ
",Медицинская мебель,Секретсервис,875,760,410
Столик СП-02У,"
Под заказ
",Медицинская мебель,Секретсервис,875,760,410
Столик для перевозки биксов СП-01БН,"
Под заказ
",Медицинская мебель,Секретсервис,840,810,410
Столик для перевозки биксов СП-01Б,"
Под заказ
",Медицинская мебель,Секретсервис,840,810,410
Столик процедурный СП-02-7НН,"
Под заказ
",Медицинская мебель,Секретсервис,875,740,410
Столик инструментальный СП-02-2 НН,"
Под заказ
",Медицинская мебель,Секретсервис,860,790,450
Столик процедурный СП-02-6,"
Под заказ
",Медицинская мебель,Секретсервис,930,800,570
Столик процедурный СП-02-4,"
Под заказ
",Медицинская мебель,Секретсервис,950,875,455
Столик процедурный СП-02-9 Р,"
Под заказ
",Медицинская мебель,Секретсервис,800,930,570
Столик процедурный ГУСЬ СП-01ГН4.В,"
Под заказ
",Медицинская мебель,Секретсервис,900-1320,600,400
Столик процедурный СП-02-7Н,"
Под заказ
",Медицинская мебель,Секретсервис,875,740,410
Столик процедурный СП-02-5Н,"
Под заказ
",Медицинская мебель,Секретсервис,800,700,430
Столик для раскладки лекарств СП-01-2М,"
Под заказ
",Медицинская мебель,Секретсервис,810,805,400
Столик процедурный СП-02-3,"
Под заказ
",Медицинская мебель,Секретсервис,875,500,450
Столик процедурный СП-01Н,"
Под заказ
",Медицинская мебель,Секретсервис,800,685,385
Столик процедурный СП-02-7,"
Под заказ
",Медицинская мебель,Секретсервис,875,740,410
Столик процедурный СП-02-5,"
Под заказ
",Медицинская мебель,Секретсервис,875,700,430
Столик процедурный СП-01-3Н,"
Под заказ
",Медицинская мебель,Секретсервис,800,665,385
Столик процедурный СП-01-2К,"
Под заказ
",Медицинская мебель,Секретсервис,810,805,400
Столик процедурный ГУСЬ СП-01ГН,"
Под заказ
",Медицинская мебель,Секретсервис,770-1100,655,430
Столик процедурный СП-01-4,"
Под заказ
",Медицинская мебель,Секретсервис,800,685,385
Столик процедурный СП-01,"
Под заказ
",Медицинская мебель,Секретсервис,800,700,420
Столик процедурный СП-01-3C,"
Под заказ
",Медицинская мебель,Секретсервис,800,700,400
Столик процедурный СП-01-3,"
Под заказ
",Медицинская мебель,Секретсервис,800,700,400
Столик процедурный СП-01-2НC,"
Под заказ
",Медицинская мебель,Секретсервис,800,665,385
Столик процедурный ГУСЬ СП-01Г,"
Под заказ
",Медицинская мебель,Секретсервис,770-1100,655,430
Столик процедурный СП-01-2C,"
Под заказ
",Медицинская мебель,Секретсервис,800,665,385
Стол манипуляционный МД SM N,"
 6 380 руб.
",Медицинская мебель,Секретсервис,710/720,680,440
Стол процедурный МД SP 2G,"
 8 563 руб.
",Медицинская мебель,Секретсервис,940,600,470
Стол медицинский процедурный МД SP N,"
 10 134 руб.
",Медицинская мебель,Секретсервис,790/1150,700,410
Стол процедурный МД SP 3G,"
 10 450 руб.
",Медицинская мебель,Секретсервис,940,600,470
Стол процедурный МД SP 2N,"
 11 745 руб.
",Медицинская мебель,Секретсервис,940,600,470
Столик стоматолога СС-1-6,"
Под заказ
",Медицинская мебель,Секретсервис,880,630,390
Столик стоматолога СС-1-5,"
Под заказ
",Медицинская мебель,Секретсервис,880,510,510
Столик стоматолога СС-1,"
Под заказ
",Медицинская мебель,Секретсервис,990,640,485
Стол процедурный МД SP 3N,"
 15 856 руб.
",Медицинская мебель,Секретсервис,940,600,470
Стол манипуляционный МД SM 1,"
 17 304 руб.
",Медицинская мебель,Секретсервис,940,600,470
Стол манипуляционный МД SM 2,"
 26 219 руб.
",Медицинская мебель,Секретсервис,940,600,470
Стол манипуляционный МД SM 6,"
 36 929 руб.
",Медицинская мебель,Секретсервис,940,600,470
Стол манипуляционный СМ-01,"
Под заказ
",Медицинская мебель,Секретсервис,970,870,620
Стол палатный MW TW-16 БЕЛОЕ ДЕРЕВО,"
Под заказ
",Медицинская мебель,Секретсервис,741,850,750
Стол палатный MW TW-25 БЕЛОЕ ДЕРЕВО,"
Под заказ
",Медицинская мебель,Секретсервис,750,850,750
Стол палатный MW TW-16 ГОЛУБОЙ,"
Под заказ
",Медицинская мебель,Секретсервис,741,850,750
Стол палатный MW TW-16 БЕЛЫЙ,"
Под заказ
",Медицинская мебель,Секретсервис,741,850,750
Стол производственный с решетчатой полкой и бортом,"
 7 956 руб.
9 360 руб.",Медицинская мебель,Секретсервис,860,1500,600
Стол медицинский СМ 1-1С,"
Под заказ
",Медицинская мебель,Секретсервис,740,1100,600
Стол однотумбовый СК8 - 3Б,"
Под заказ
",Медицинская мебель,Секретсервис,850,1200,600
Стол однотумбовый СМ-1,"
Под заказ
",Медицинская мебель,Секретсервис,750,1100,600
Кровать медицинская КМ-09,"
Под заказ
",Медицинская мебель,Секретсервис,840,900,
"Матрац медицинский с чехлом, пенополиуретан","
Под заказ
",Медицинская мебель,Секретсервис,100,900,
Кровать функциональная КМ-04,"
Под заказ
",Медицинская мебель,Секретсервис,905,890,
Кровать медицинская КМ-01,"
Под заказ
",Медицинская мебель,Секретсервис,900,840,
Кровать медицинская КОМ 01-6,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КОМ 01-3,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КОМ 02,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КОМ 02-1,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КОМ 02-2,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КМ-10,"
 23 435 руб.
",Медицинская мебель,Секретсервис,840,900,
Кровать медицинская КМ-06,"
 34 757 руб.
",Медицинская мебель,Секретсервис,935,2220,956
Кровать медицинская КМ-03,"
 41 693 руб.
",Медицинская мебель,Секретсервис,900,840,
Кровать медицинская КМ-02,"
 64 847 руб.
",Медицинская мебель,Секретсервис,935,2220,956
Кровать медицинская КМ-15,"
Под заказ
",Медицинская мебель,Секретсервис,956/1017,2170,2170
Кровать функциональная КМ-17 (электропривод),"
Под заказ
",Медицинская мебель,Секретсервис,956/1017,2170,2170
Кровать функциональная КМ-07,"
Под заказ
",Медицинская мебель,Секретсервис,956,2220,935
Кровать функциональная КМ-05,"
Под заказ
",Медицинская мебель,Секретсервис,956,2220,935
Кровать медицинская КМ-09,"
Под заказ
",Медицинская мебель,Секретсервис,840,900,
"Матрац медицинский с чехлом, пенополиуретан","
Под заказ
",Медицинская мебель,Секретсервис,100,900,
Кровать функциональная КМ-04,"
Под заказ
",Медицинская мебель,Секретсервис,905,890,
Кровать медицинская КМ-01,"
Под заказ
",Медицинская мебель,Секретсервис,900,840,
Кровать медицинская КОМ 01-6,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КОМ 01-3,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КОМ 02,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КОМ 02-1,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КОМ 02-2,"
Под заказ
",Медицинская мебель,Секретсервис,800,800,
Кровать медицинская КМ-10,"
 23 435 руб.
",Медицинская мебель,Секретсервис,840,900,
Кровать медицинская КМ-06,"
 34 757 руб.
",Медицинская мебель,Секретсервис,935,2220,956
Кровать медицинская КМ-03,"
 41 693 руб.
",Медицинская мебель,Секретсервис,900,840,
Кровать медицинская КМ-02,"
 64 847 руб.
",Медицинская мебель,Секретсервис,935,2220,956
Кровать медицинская КМ-15,"
Под заказ
",Медицинская мебель,Секретсервис,956/1017,2170,2170
Кровать функциональная КМ-17 (электропривод),"
Под заказ
",Медицинская мебель,Секретсервис,956/1017,2170,2170
Кровать функциональная КМ-07,"
Под заказ
",Медицинская мебель,Секретсервис,956,2220,935
Кровать функциональная КМ-05,"
Под заказ
",Медицинская мебель,Секретсервис,956,2220,935
"АКЦИЯ! Стеллаж  для заготовок 1500*700*300 мм, 4 полки","
 2 900 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1500.0,700.0,300
"Стеллаж металлический 1000*700*300 мм, 3 полки","
 3 592 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1000.0,700.0,300
"Стеллаж металлический 2000*1000*400 мм, 5 полок","
 7 159 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1000.0,400
"Стеллаж металлический 2200*1000*500 мм, 5 полок","
 8 257 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2200.0,1000.0,500
"Стеллаж металлический 1800*1200*500 мм, 4 полки","
 8 612 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1800.0,1200.0,500
