title,availability,price,category,shop,manufacturer,width,height
Шкаф медицинский HILFE МД 1 1760/SS,Есть в наличии,15 740 руб.,Медицинская мебель,5,,,
Шкаф для уборочного инвентаря МСК-649.02 (ШМм-МСК-649.02),Есть в наличии,26 600 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 185/100х30/4,Есть в наличии,4 130 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 185/100х60/4,Есть в наличии,6 060 руб.,Медицинская мебель,5,,,
Шкаф для палат MF LH-2 1880 белый,Есть в наличии,11 130 руб.,Медицинская мебель,5,,,
Картотечный шкаф МСК-831.04 (4 ящика),Есть в наличии,37 390 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-5647.12 (ШМ-02) нерж.сталь,Есть в наличии,111 610 руб.,Медицинская мебель,5,,,
Шкаф медицинский М1 175.60.40 М,Есть в наличии,15 540 руб.,Медицинская мебель,5,,,
Шкаф для белья,Есть в наличии,25 570 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-645.01 (ШМ-03) металл,Есть в наличии,28 310 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1760/SG,Есть в наличии,15 740 руб.,Медицинская мебель,5,,,
Шкаф медицинский 4Hospitals МСК-645.01-11 (ШМ-03),Есть в наличии,43 600 руб.,Медицинская мебель,5,,,
Шкаф для кабинета врача ШКВ-05,Есть в наличии,36 410 руб.,Медицинская мебель,5,,,
Шкаф для одежды МД-501.02 (ШМО-МСК),Есть в наличии,14 330 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМД-06,Есть в наличии,32 090 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМД-07,Есть в наличии,33 230 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМД-04,Есть в наличии,30 480 руб.,Медицинская мебель,5,,,
Шкаф для белья и одежды МД-507.01 (ШМБО-МСК),Есть в наличии,12 890 руб.,Медицинская мебель,5,,,
Шкаф материальный ШМ-03,Есть в наличии,24 190 руб.,Медицинская мебель,5,,,
Шкаф медицинский 4Hospitals МСК-642.12 (ШМ-01),Есть в наличии,49 230 руб.,Медицинская мебель,5,,,
Шкаф для кабинета врача ШКВ-08,Есть в наличии,21 370 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-982.213 (ШМм-МСК),Есть в наличии,28 950 руб.,Медицинская мебель,5,,,
Шкаф медицинский 4Hospitals МСК-653.12 (ШМ-01),Есть в наличии,84 780 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМД-03,Есть в наличии,26 670 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-5646.12 (ШМ-01),Есть в наличии,82 500 руб.,Медицинская мебель,5,,,
Шкаф для белья и одежды МД-502 (ШМБО-МСК),Есть в наличии,17 140 руб.,Медицинская мебель,5,,,
Шкаф для белья и одежды МД-508.01 (ШМБО-МСК),Есть в наличии,12 530 руб.,Медицинская мебель,5,,,
Шкаф для белья и одежды МД-503.02 (ШМБО-МСК),Есть в наличии,17 350 руб.,Медицинская мебель,5,,,
Шкаф для одежды металлический разборный двухстворчатый на винтах МСК-981.232,Есть в наличии,30 000 руб.,Медицинская мебель,5,,,
Шкаф для документов и справочной литературы ШД-04,Есть в наличии,30 240 руб.,Медицинская мебель,5,,,
Шкаф для кабинета врача ШКВ-03,Есть в наличии,35 980 руб.,Медицинская мебель,5,,,
Шкаф для кабинета врача ШКВ-04,Есть в наличии,33 020 руб.,Медицинская мебель,5,,,
Шкаф палатный ШП-03,Есть в наличии,26 670 руб.,Медицинская мебель,5,,,
Кушетка медицинская МД КС (Слоновая кость),Есть в наличии,11 560 руб.,Медицинская мебель,5,,,
Стол медицинский процедурный МД SP N,Есть в наличии,7 740 руб.,Медицинская мебель,5,,,
