title,availability,price,category,shop,manufacturer,width,height
"Стол-мойка СТм-103 «Стандарт» 800 (корпус металл серый, каркас серый)",Есть в наличии,64 020 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-104 «Стандарт» 600 (корпус ЛДСП серый, столешница постформинг серый, каркас серый)",Есть в наличии,40 370 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-104 «Стандарт» 600 (корпус металл серый, столешница постформинг серый, каркас серый)",Есть в наличии,71 490 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-105 «Стандарт» 850 (корпус ЛДСП серый, столешница постформинг серый, каркас серый)",Есть в наличии,51 130 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-105 «Стандарт» 850 (корпус металл серый, столешница постформинг серый, каркас серый)",Есть в наличии,76 270 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-106 «Стандарт» 1200 (корпус ЛДСП серый, столешница постформинг серый, каркас серый)",Есть в наличии,59 640 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-106 «Стандарт» 1200 (корпус металл серый, столешница постформинг серый, каркас серый)",Есть в наличии,79 500 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-106 «Стандарт» 1200 (корпус металл серый, столешница нерж. сталь, каркас серый)",Есть в наличии,100 810 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-107 «Стандарт» 1200 (корпус ЛДСП серый, столешница постформинг серый, каркас серый)",Есть в наличии,66 160 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-107 «Стандарт» 1200 (корпус металл серый, столешница постформинг серый, каркас серый)",Есть в наличии,110 320 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-108 «Стандарт» 1200 (корпус ЛДСП серый, столешница постформинг серый, каркас серый)",Есть в наличии,58 030 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-108 «Стандарт» 1200 (корпус металл серый, столешница постформинг серый, каркас серый)",Есть в наличии,101 920 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-101/1 «Стандарт» (корпус ЛДСП серый, каркас серый)",Есть в наличии,36 900 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-101/1 «Стандарт» (корпус металл серый, каркас серый)",Есть в наличии,50 400 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-102/1 «Стандарт» (корпус ЛДСП серый, каркас серый)",Есть в наличии,48 260 руб.,Медицинская мебель,5,,,
"Стол-мойка СТм-102/1 «Стандарт» (корпус металл серый, каркас серый)",Есть в наличии,66 470 руб.,Медицинская мебель,5,,,
"Шкаф для химических реактивов ШХР (корпус ЛДСП серый, каркас серый)",Есть в наличии,33 390 руб.,Медицинская мебель,5,,,
"Шкаф для химических реактивов ШпХР-1 (корпус ЛДСП серый, каркас серый)",Есть в наличии,25 020 руб.,Медицинская мебель,5,,,
Шкаф для химических реактивов ШМпХР-1 (корпус металл серый),Есть в наличии,44 510 руб.,Медицинская мебель,5,,,
"Шкаф для химических реактивов ШХР-2 (корпус ЛДСП серый, каркас серый)",Есть в наличии,33 570 руб.,Медицинская мебель,5,,,
Шкаф для химических реактивов ШМХР-2 (корпус металл серый),Есть в наличии,57 790 руб.,Медицинская мебель,5,,,
"Шкаф для химических реактивов ШпХР-3 (корпус ЛДСП серый, каркас серый)",Есть в наличии,25 220 руб.,Медицинская мебель,5,,,
Шкаф для химических реактивов ШМпХР-3 (корпус металл серый),Есть в наличии,44 510 руб.,Медицинская мебель,5,,,
"Шкаф для химических реактивов ШХР-4 (корпус ЛДСП серый, каркас серый)",Есть в наличии,34 630 руб.,Медицинская мебель,5,,,
Шкаф для химических реактивов ШМХР-4 (корпус металл серый),Есть в наличии,57 960 руб.,Медицинская мебель,5,,,
"Шкаф для лабораторной посуды ШЛП (корпус ЛДСП серый, каркас серый)",Есть в наличии,37 110 руб.,Медицинская мебель,5,,,
"Шкаф для лабораторной посуды ШпЛП-1 (корпус ЛДСП серый, каркас серый)",Есть в наличии,23 990 руб.,Медицинская мебель,5,,,
Шкаф для лабораторной посуды ШМпЛП-1 (корпус металл серый),Есть в наличии,41 900 руб.,Медицинская мебель,5,,,
"Шкаф для лабораторной посуды ШЛП-2 (корпус ЛДСП серый, каркас серый)",Есть в наличии,33 350 руб.,Медицинская мебель,5,,,
Шкаф для лабораторной посуды ШМЛП-2 (корпус металл серый),Есть в наличии,49 980 руб.,Медицинская мебель,5,,,
"Шкаф для лабораторной посуды ШпЛП-3 (корпус ЛДСП серый, каркас серый)",Есть в наличии,26 840 руб.,Медицинская мебель,5,,,
Шкаф для лабораторной посуды ШМпЛП-3 (корпус металл серый),Есть в наличии,41 840 руб.,Медицинская мебель,5,,,
"Шкаф для лабораторной посуды ШЛП-4 (корпус ЛДСП серый, каркас серый)",Есть в наличии,31 280 руб.,Медицинская мебель,5,,,
Шкаф для лабораторной посуды ШМЛП-4 (корпус металл серый),Есть в наличии,49 500 руб.,Медицинская мебель,5,,,
Шкаф лабораторный ШМпЛ-1 (корпус металл серый),Есть в наличии,39 310 руб.,Медицинская мебель,5,,,
"Шкаф лабораторный ШпЛ-1 (корпус ЛДСП серый, каркас серый)",Есть в наличии,21 300 руб.,Медицинская мебель,5,,,
"Шкаф лабораторный ШЛ-2 (корпус ЛДСП серый, каркас серый)",Есть в наличии,28 810 руб.,Медицинская мебель,5,,,
Шкаф лабораторный ШМЛ-2 (корпус металл серый),Есть в наличии,50 910 руб.,Медицинская мебель,5,,,
"Шкаф лабораторный ШпЛ-3 (корпус ЛДСП серый, каркас серый)",Есть в наличии,22 320 руб.,Медицинская мебель,5,,,
Шкаф лабораторный ШМпЛ-3 (корпус металл серый),Есть в наличии,39 310 руб.,Медицинская мебель,5,,,
"Шкаф лабораторный ШЛ-4 (корпус ЛДСП серый, каркас серый)",Есть в наличии,28 810 руб.,Медицинская мебель,5,,,
Шкаф лабораторный ШМЛ-4 (корпус металл серый),Есть в наличии,50 910 руб.,Медицинская мебель,5,,,
"Шкаф лабораторный ШпЛ-5 (корпус ЛДСП серый, каркас серый)",Есть в наличии,28 690 руб.,Медицинская мебель,5,,,
Шкаф лабораторный ШМпЛ-5 (корпус металл серый),Есть в наличии,45 710 руб.,Медицинская мебель,5,,,
"Шкаф лабораторный ШЛ-6 (корпус ЛДСП серый, каркас серый)",Есть в наличии,35 570 руб.,Медицинская мебель,5,,,
Шкаф лабораторный ШМЛ-6 (корпус металл серый),Есть в наличии,64 320 руб.,Медицинская мебель,5,,,
Шкаф вытяжной ЛДСП «Стандарт» ШВ (столешница постформинг серый),Есть в наличии,105 490 руб.,Медицинская мебель,5,,,
Шкаф вытяжной ЛДСП «Стандарт» ШВ-1 (столешница постформинг серый),Есть в наличии,89 250 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Стандарт» ШВ-2 (столешница постформинг серый),Есть в наличии,69 440 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Стандарт» ШВ-2 (столешница керамика),Есть в наличии,78 150 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Стандарт» ШМВ (столешница постформинг серый),Есть в наличии,171 760 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Стандарт» ШМВ (столешница керамика),Есть в наличии,177 600 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Премиум» (столешница керамика) ШМВ-1 (1000х680х2200),Есть в наличии,220 500 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Премиум» (столешница керамика) ШМВ-1 (1200х680х2200),Есть в наличии,259 890 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Премиум» (столешница керамика) ШМВ-3 (1000х680х2200),Есть в наличии,233 810 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Премиум» (столешница керамика) ШМВ-3 (1200х680х2200),Есть в наличии,268 910 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Премиум» (столешница керамика) ШМВ-4 (1200х680х2200),Есть в наличии,258 190 руб.,Медицинская мебель,5,,,
Шкаф вытяжной металлический «Премиум» (столешница керамика) ШМВ-4 (1500х680х2200),Есть в наличии,319 800 руб.,Медицинская мебель,5,,,
Шкаф вытяжной Алюминиевый профиль с тумбой МА-В-1 (столешница постформинг серый),Есть в наличии,147 290 руб.,Медицинская мебель,5,,,
Шкаф вытяжной Алюминиевый профиль без тумбы МА-В-2 (столешница постформинг серый),Есть в наличии,123 190 руб.,Медицинская мебель,5,,,
Шкаф вытяжной с тумбой Алюминиевый профиль (столешница постформинг) МА-В-1/1 (1200х735х2000),Есть в наличии,241 150 руб.,Медицинская мебель,5,,,
Шкаф вытяжной с тумбой Алюминиевый профиль (столешница постформинг) МА-В-1/1 (1500х735х2000),Есть в наличии,282 770 руб.,Медицинская мебель,5,,,
Шкаф вытяжной с тумбой Алюминиевый профиль (столешница постформинг) МА-В-2/1 (1200х735х2000),Есть в наличии,246 350 руб.,Медицинская мебель,5,,,
Шкаф вытяжной с тумбой Алюминиевый профиль (столешница постформинг) МА-В-2/1 (1500х735х2000),Есть в наличии,293 280 руб.,Медицинская мебель,5,,,
Тумба медицинская МД ТП-5,Есть в наличии,12 670 руб.,Медицинская мебель,5,,,
Тумба медицинская МД ТП-6,Есть в наличии,12 810 руб.,Медицинская мебель,5,,,
Тумба медицинская МД ТП-8,Есть в наличии,16 350 руб.,Медицинская мебель,5,,,
Стол тумба СИПС-М-01 (2 Ящика),Есть в наличии,22 350 руб.,Медицинская мебель,5,,,
Стол тумба СИПС-М-01 (3 Ящика),Есть в наличии,29 300 руб.,Медицинская мебель,5,,,
Стол тумба СИПС-М-01 (4 Ящика),Есть в наличии,30 290 руб.,Медицинская мебель,5,,,
Стол тумба СИПС-Н-01 2 ящика,Есть в наличии,48 150 руб.,Медицинская мебель,5,,,
Стол тумба СИПС-Н-01 3 ящика,Есть в наличии,53 490 руб.,Медицинская мебель,5,,,
Стол тумба СИПС-Н-01 4 ящика,Есть в наличии,59 120 руб.,Медицинская мебель,5,,,
Тумба для палат МF NH-3,Есть в наличии,6 840 руб.,Медицинская мебель,5,,,
Стойка медицинская для аппаратуры МСК-861.02,Нет в наличии,59 530 руб.,Медицинская мебель,5,,,
Ширма медицинская односекционная (основная),Есть в наличии,4 040 руб.,Медицинская мебель,5,,,
Ширма медицинская (дополнительная секция),Есть в наличии,3 910 руб.,Медицинская мебель,5,,,
Тележка двухярусная из нержавеющей стали СТ НЖ 3 (без колёс),Есть в наличии,46 490 руб.,Медицинская мебель,5,,,
Кровать адаптационная механическая MBН с туалетным устройством,Есть в наличии,88 450 руб.,Медицинская мебель,5,,,
Медицинская тележка МД ТБЛ,Есть в наличии,32 420 руб.,Медицинская мебель,5,,,
Тележка двухярусная из нержавеющей стали СТ НЖ 1 (без колёс),Есть в наличии,36 740 руб.,Медицинская мебель,5,,,
Тележка двухярусная из нержавеющей стали СТ НЖ 2 (без колёс),Есть в наличии,40 480 руб.,Медицинская мебель,5,,,
Тележка двухярусная из нержавеющей стали СТ НЖ 5 (без колёс),Есть в наличии,55 140 руб.,Медицинская мебель,5,,,
Банкетка медицинская со спинкой,Есть в наличии,10 920 руб.,Медицинская мебель,5,,,
Диван модульный БС-3х + ДО-8/4 + БС-3х (кожзам Эконом белый),Есть в наличии,67 420 руб.,Медицинская мебель,5,,,
Банкетка трехместная БО-1/3 (кожзам Эконом белый),Есть в наличии,30 220 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-1/2 (кожзам Эконом бежевый),Есть в наличии,35 140 руб.,Медицинская мебель,5,,,
Диван трехместный ДО-1/3 (кожзам Эконом бежевый),Есть в наличии,48 950 руб.,Медицинская мебель,5,,,
Диван трехместный ДО-1/3.1 с подлокотниками (кожзам Эконом бежевый),Есть в наличии,58 150 руб.,Медицинская мебель,5,,,
Диван трехместный ДО-4/3 (кожзам Эконом коричневый),Есть в наличии,48 360 руб.,Медицинская мебель,5,,,
Диван трехместный ДО-4/3.1 с подлокотниками (кожзам Эконом коричневый),Есть в наличии,55 600 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-7/2 (кожзам Эконом белый),Есть в наличии,33 620 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-7/3 (кожзам Эконом белый),Есть в наличии,38 790 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-9/2 (кожзам Эконом бежевый),Есть в наличии,34 140 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-9/3 (кожзам Эконом белый),Есть в наличии,41 940 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-10/2 (кожзам Эконом белый),Есть в наличии,40 080 руб.,Медицинская мебель,5,,,
Диван трехместный ДО-10/3 (кожзам Эконом коричневый),Есть в наличии,83 830 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-11/3 (кожзам Эконом коричневый),Есть в наличии,51 290 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-12/2 (кожзам Эконом черный),Есть в наличии,37 860 руб.,Медицинская мебель,5,,,
Диван-кресло ДО-15/1 (кожзам Эконом черный),Есть в наличии,56 560 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-15/2 (кожзам Эконом коричневый),Есть в наличии,70 110 руб.,Медицинская мебель,5,,,
Диван двухместный ДО-15/3 (кожзам Эконом белый),Есть в наличии,95 000 руб.,Медицинская мебель,5,,,
Диван трехместный ДМ-3 (кожзам Эконом белый),Есть в наличии,41 900 руб.,Медицинская мебель,5,,,
Диван-книжка ДР-2 (кожзам Эконом коричневый),Есть в наличии,50 810 руб.,Медицинская мебель,5,,,
Диван-книжка раскладной ДР-2.1 с подлокотниками (кожзам Эконом коричневый),Есть в наличии,60 160 руб.,Медицинская мебель,5,,,
Диван раскладной одноместный ДР-1 с подлокотниками (кожзам Эконом белый),Есть в наличии,48 010 руб.,Медицинская мебель,5,,,
Скамья металлическая 2-х местная СКМ-2х (каркас белый),Есть в наличии,9 820 руб.,Медицинская мебель,5,,,
Скамья металлическая 3-х местная СКМ-3х (каркас белый),Есть в наличии,14 100 руб.,Медицинская мебель,5,,,
Скамья 2-х местная СКД-2х (каркас белый),Есть в наличии,12 350 руб.,Медицинская мебель,5,,,
Скамья 3-х местная СКД-3х (каркас белый),Есть в наличии,16 300 руб.,Медицинская мебель,5,,,
Кровать медицинская КМ-03,Есть в наличии,31 880 руб.,Медицинская мебель,5,,,
Стол-барьер рабочий ПМ (ЛДСП белый),Есть в наличии,41 210 руб.,Медицинская мебель,5,,,
Стол-барьер рабочий ПМ-1 (ЛДСП бук),Есть в наличии,44 930 руб.,Медицинская мебель,5,,,
Стол-барьер рабочий ПМ-2 (ЛДСП бук),Есть в наличии,58 850 руб.,Медицинская мебель,5,,,
Стол-барьер рабочий ПМ-3 (ЛДСП белый),Есть в наличии,76 390 руб.,Медицинская мебель,5,,,
"Стол-барьер рабочий на металлокаркасе ПМ-4 (ЛДСП серый, каркас белый)",Есть в наличии,87 140 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-812.600.5 (5 полок),Нет в наличии,12 210 руб.,Медицинская мебель,5,,,
Шкаф для одежды одностворчатый Титан МД-5511,Нет в наличии,24 200 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-824.600.5 (5 полок),Нет в наличии,10 820 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-825.600.5 (5 полок),Нет в наличии,11 290 руб.,Медицинская мебель,5,,,
Шкаф-стеллаж медицинский МСК-811.400.5 (Сми-МСК) (5 полок),Нет в наличии,9 720 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-811.600.4 (4 полки),Нет в наличии,10 440 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-824.500.5 (5 полок),Нет в наличии,9 650 руб.,Медицинская мебель,5,,,
Шкаф-стеллаж медицинский МСК-811.400.4 (Сми-МСК) (4 полки),Нет в наличии,8 470 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-824.300.5 (5 полок),Нет в наличии,8 010 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-825.400.5 (5 полок),Нет в наличии,9 310 руб.,Медицинская мебель,5,,,
Шкаф металлический для одежды МСК-650 (МИ 05.04.01),Нет в наличии,24 880 руб.,Медицинская мебель,5,,,
Шкаф-стеллаж медицинский МСК-811.500.4 (Сми-МСК) (4 полки),Нет в наличии,9 250 руб.,Медицинская мебель,5,,,
Шкаф-стеллаж медицинский МСК-811.300.5 (Сми-МСК) (5 полок),Нет в наличии,8 730 руб.,Медицинская мебель,5,,,
Шкаф-стеллаж медицинский МСК-811.500.5 (Сми-МСК) (5 полок),Нет в наличии,10 720 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-823.300.4 (4 полки),Нет в наличии,7 070 руб.,Медицинская мебель,5,,,
Стол для стоматолога СС-04-01,Есть в наличии,15 910 руб.,Медицинская мебель,5,,,
Стол пеленальный МF TD 100.2,Нет в наличии,13 060 руб.,Медицинская мебель,5,,,
Стол палатный СП-2 600х600,Есть в наличии,5 220 руб.,Медицинская мебель,5,,,
Стол палатный СП-2 1200х600,Есть в наличии,7 580 руб.,Медицинская мебель,5,,,
Стол медицинский инструментальный СМИ-02 (полки металл + стекло колёса серая резина),Есть в наличии,7 150 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02 (полки нерж., колёса пластик) ",Есть в наличии,7 310 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02 (полки стекло, колёса серая резина) ",Есть в наличии,7 200 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-03 (полки нерж., колёса серая резина) ",Есть в наличии,10 020 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-03 (полки нерж., колёса пластик) ",Есть в наличии,9 410 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-03 (полки стекло, колёса пластик) ",Есть в наличии,8 220 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-03 (полки стекло, колёса серая резина) ",Есть в наличии,8 820 руб.,Медицинская мебель,5,,,
Стол медицинский инструментальный СМИ-01В,Есть в наличии,9 220 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-03-01 (полки нерж., колёса пластик)",Есть в наличии,13 750 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02-02 (полки металл + нерж., колёса серая резина)",Есть в наличии,14 400 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02-02 (полки нерж., колёса пластик)",Есть в наличии,14 460 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02-03 (полки нерж., колёса серая резина)",Есть в наличии,18 900 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02-03 (полки металл, колёса серая резина)",Есть в наличии,17 170 руб.,Медицинская мебель,5,,,
Стол инструментальный процедурный специальный СИПС-03-01-Н (колёса серая резина),Есть в наличии,15 110 руб.,Медицинская мебель,5,,,
Столик медицинский инструментальный СМИ-01-04 (полки металл),Есть в наличии,18 930 руб.,Медицинская мебель,5,,,
Столик медицинский инструментальный СМИ-01-04 (полки нерж. сталь),Есть в наличии,19 600 руб.,Медицинская мебель,5,,,
Стол инструментальный процедурный специальный СИПС (полки металл),Есть в наличии,22 790 руб.,Медицинская мебель,5,,,
Стол инструментальный процедурный специальный СИПС-Н (полки нерж. сталь),Есть в наличии,25 820 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-02-01 (полки металл + нерж. сталь, колёса серая резина)",Есть в наличии,11 610 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-02-01 (полки нерж. сталь + стекло, колёса серая резина)",Есть в наличии,11 360 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-02-01 (полки нерж. сталь, колёса пластик)",Есть в наличии,11 680 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-917,Нет в наличии,21 750 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-926,Нет в наличии,24 370 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-917.1,Нет в наличии,24 810 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-926.1,Нет в наличии,27 760 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный ОВУ-01 Солнечный бриз-1 (Чёрный),Есть в наличии,6 510 руб.,Медицинская мебель,5,,,
Рециркулятор RUV-1001 (Белый),Есть в наличии,5 200 руб.,Медицинская мебель,5,,,
Рециркулятор RUV-2001 (Белый),Есть в наличии,7 120 руб.,Медицинская мебель,5,,,
Рециркулятор ОВУ-03 Старт-115 (Чёрный),Есть в наличии,5 270 руб.,Медицинская мебель,5,,,
Массажный стол МТ (Слоновая кость),Нет в наличии,70 250 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-825.500.5 (5 полок),Нет в наличии,10 120 руб.,Медицинская мебель,5,,,
Шкаф для одежды металлический разборный на винтах МСК-941.300,Нет в наличии,13 570 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-824.400.5 (5 полок),Нет в наличии,8 840 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-813.400.5 (5 полок),Нет в наличии,10 200 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-823.400.4 (4 полки),Нет в наличии,7 730 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-825.300.5 (5 полок),Нет в наличии,8 470 руб.,Медицинская мебель,5,,,
Шкаф-стеллаж медицинский МСК-811.300.4 (Сми-МСК) (4 полки),Нет в наличии,7 670 руб.,Медицинская мебель,5,,,
Шкаф для одежды металлический разборный на винтах МСК-941.425,Нет в наличии,14 550 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-823.500.4 (4 полки),Нет в наличии,8 400 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-813.500.5 (5 полок),Нет в наличии,11 200 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-813.300.5 (5 полок),Нет в наличии,9 200 руб.,Медицинская мебель,5,,,
Шкаф для белья и одежды Титан МД-5502,Нет в наличии,30 240 руб.,Медицинская мебель,5,,,
Стеллаж металлический МСК-823.600.4 (4 полки),Нет в наличии,9 330 руб.,Медицинская мебель,5,,,
"Банкетка трехместная БО-4/3 (кожзам Эконом белый, каркас черный)",Есть в наличии,22 950 руб.,Медицинская мебель,5,,,
Стол складной для забора крови СЛ1 (Чёрный),Есть в наличии,4 390 руб.,Медицинская мебель,5,,,
Стол палатный MF TH-85.25S белое дерево,Есть в наличии,6 920 руб.,Медицинская мебель,5,,,
Медицинская тележка МД ТБЛ-01,Есть в наличии,85 700 руб.,Медицинская мебель,5,,,
Матрац НПВ 2513 ТБН,Есть в наличии,3 680 руб.,Медицинская мебель,5,,,
Штатив медицинский MBP-03 (КМ МШ-1),Есть в наличии,1 420 руб.,Медицинская мебель,5,,,
Штатив медицинский MDР-01 (КМ ШДВ),Есть в наличии,2 900 руб.,Медицинская мебель,5,,,
Бактерицидный обеззараживатель - рециркулятор воздуха AirBOX Standart,Есть в наличии,15 950 руб.,Медицинская мебель,5,,,
Бактерицидный обеззараживатель - рециркулятор воздуха AirBOX Premium,Есть в наличии,25 470 руб.,Медицинская мебель,5,,,
Кровать медицинская MB111.1.0.1 (KM-01),Есть в наличии,17 840 руб.,Медицинская мебель,5,,,
Кровать медицинская MB100.1.0.1 (KM-09),Есть в наличии,15 420 руб.,Медицинская мебель,5,,,
Кровать медицинская MB100.4.0.3 (KM-10),Есть в наличии,17 920 руб.,Медицинская мебель,5,,,
Кровать медицинская MB223.2.1.2 (KM-04),Есть в наличии,43 580 руб.,Медицинская мебель,5,,,
Кровать медицинская МВ223.1.1.5 (KM-05),Есть в наличии,56 680 руб.,Медицинская мебель,5,,,
Кровать медицинская MB221.1.1.5 (KM-02),Есть в наличии,49 580 руб.,Медицинская мебель,5,,,
Кровать медицинская MB200.1.0.5 (KM-06),Есть в наличии,26 570 руб.,Медицинская мебель,5,,,
Кровать подростковая КМП-1 (каркас белый),Есть в наличии,16 440 руб.,Медицинская мебель,5,,,
Кровать медицинская МСК-101 (КФО-01-МСК МСК-101) со ступенчатой регулировкой,Нет в наличии,27 200 руб.,Медицинская мебель,5,,,
Кровать общебольничная МСК-122,Нет в наличии,9 560 руб.,Медицинская мебель,5,,,
Кровать общебольничная МСК-124,Нет в наличии,10 410 руб.,Медицинская мебель,5,,,
Кровать общебольничная функциональная МСК-132 со ступенчатой регулировкой,Нет в наличии,21 060 руб.,Медицинская мебель,5,,,
Кровать общебольничная функциональная МСК-125 со ступенчатой регулировкой,Нет в наличии,20 630 руб.,Медицинская мебель,5,,,
Кровать медицинская МСК-123 (КФ0-01-МСК),Нет в наличии,9 930 руб.,Медицинская мебель,5,,,
Кровать медицинская металлическая с подголовником КМ-1П (каркас белый),Есть в наличии,25 590 руб.,Медицинская мебель,5,,,
Кровать медицинская металлическая КМ-1 (каркас белый),Есть в наличии,21 610 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный ОВУ-02-2 Солнечный бриз-2 (Чёрный),Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД LS(LE)-21,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф медицинский ПРАКТИК МД AM 1891,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф медицинский ПРАКТИК МД М-18,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД LS(LE)-31,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД LS(LE)-41,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД AM 1845,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД AM 2091,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД AM 1845/4,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД LS (LE)-21-60 U,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД LS (LE)-21-80,Нет в наличии,По запросу,Медицинская мебель,5,,,
Шкаф ПРАКТИК МД LS (LE)-21-80 U,Нет в наличии,По запросу,Медицинская мебель,5,,,
Тумба прикроватная из ЛДСП,Нет в наличии,9 200 руб.,Медицинская мебель,5,,,
Тумба прикроватная МСК-621,Нет в наличии,По запросу,Медицинская мебель,5,,,
Тумба прикроватная МСК-651,Нет в наличии,По запросу,Медицинская мебель,5,,,
Тумба для палат МF NH-1 (Белое дерево),Нет в наличии,По запросу,Медицинская мебель,5,,,
Тумба прикроватная подкатная 4Hospitals МСК-622,Нет в наличии,По запросу,Медицинская мебель,5,,,
Диван двухместный ДО-8/2 (кожзам Эконом белый),Нет в наличии,По запросу,Медицинская мебель,5,,,
Аптечка AMD-33,Нет в наличии,По запросу,Медицинская мебель,5,,,
Картотечный шкаф ПРАКТИК МД A 43,Нет в наличии,По запросу,Медицинская мебель,5,,,
Картотечный шкаф ПРАКТИК МД A 44,Нет в наличии,По запросу,Медицинская мебель,5,,,
Картотечный шкаф ПРАКТИК МД AFC-04,Нет в наличии,По запросу,Медицинская мебель,5,,,
Картотечный шкаф ПРАКТИК МД AFC-05,Нет в наличии,По запросу,Медицинская мебель,5,,,
Картотечный шкаф ПРАКТИК МД AFC-06,Нет в наличии,По запросу,Медицинская мебель,5,,,
Кровать медицинская MB234.1.1.5 (KM-11),Нет в наличии,99 820 руб.,Медицинская мебель,5,,,
Тележка межкорпусная МСК-527.160,Нет в наличии,По запросу,Медицинская мебель,5,,,
Тележка межкорпусная МСК-529.160,Нет в наличии,По запросу,Медицинская мебель,5,,,
Тележка межкорпусная МСК-542.160,Нет в наличии,По запросу,Медицинская мебель,5,,,
