title,size,price
"

                                    Инструментальная тележка WDS-9.0 new                                 


Высота, мм
905


Ширина, мм
860


Глубина, мм
540



","[<td class=""bxr-props-table-value"">905</td>, <td class=""bxr-props-table-value"">860</td>, <td class=""bxr-props-table-value"">540</td>]",60 099 руб.
"

                                    Ящик пластиковый Практик 170x80x105                                 


Высота, мм
80


Ширина, мм
105


Глубина, мм
170



","[<td class=""bxr-props-table-value"">80</td>, <td class=""bxr-props-table-value"">105</td>, <td class=""bxr-props-table-value"">170</td>]",171 руб.
"

                                    Комплект ШС 1940 (4 полки/стойка/перекладина)                                 


Высота, мм
940


Ширина, мм
410


Глубина, мм
40



","[<td class=""bxr-props-table-value"">940</td>, <td class=""bxr-props-table-value"">410</td>, <td class=""bxr-props-table-value"">40</td>]",5 330 руб.
"

                                    Стул Pro Industrial с подлокотниками                                 


Высота, мм
950/1150


Ширина, мм
470


Глубина, мм
-



","[<td class=""bxr-props-table-value"">950/1150</td>, <td class=""bxr-props-table-value"">470</td>, <td class=""bxr-props-table-value"">-</td>]",20 151 руб.
"

                                    Стул Pro Industrial без подлокотников                                 


Высота, мм
910/1190


Ширина, мм
470


Глубина, мм
-



","[<td class=""bxr-props-table-value"">910/1190</td>, <td class=""bxr-props-table-value"">470</td>, <td class=""bxr-props-table-value"">-</td>]",19 191 руб.
"

                                    Шкаф инструментальный ТС 1995-042020                                 


Высота, мм
1900


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",42 486 руб.
"

                                    Верстак Expert (№222) W200.F2/F2.011                                 


Высота, мм
1370


Ширина, мм
2000


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1370</td>, <td class=""bxr-props-table-value"">2000</td>, <td class=""bxr-props-table-value"">700</td>]",43 225 руб.
"

                                    Инструментальная тумба WS-6                                 


Высота, мм
840


Ширина, мм
600


Глубина, мм
640



","[<td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">600</td>, <td class=""bxr-props-table-value"">640</td>]",54 673 руб.
"

                                    Полка проволочная ШС 1940/1985                                 


Высота, мм
157


Ширина, мм
400


Глубина, мм
322



","[<td class=""bxr-props-table-value"">157</td>, <td class=""bxr-props-table-value"">400</td>, <td class=""bxr-props-table-value"">322</td>]",1 532 руб.
"

                                    Табурет Pro Industrial                                 


Высота, мм
470/670


Ширина, мм
340


Глубина, мм
-



","[<td class=""bxr-props-table-value"">470/670</td>, <td class=""bxr-props-table-value"">340</td>, <td class=""bxr-props-table-value"">-</td>]",12 004 руб.
"

                                    Инструментальный шкаф HARD 2000-000000                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",64 549 руб.
"

                                    Комплект полок AMH TC SK 40 (2шт.)                                 


Высота, мм
30


Ширина, мм
840


Глубина, мм
170



","[<td class=""bxr-props-table-value"">30</td>, <td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">170</td>]",3 986 руб.
"

                                    Инструментальный шкаф AMH TC-004010                                 


Высота, мм
1850


Ширина, мм
920


Глубина, мм
460



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">920</td>, <td class=""bxr-props-table-value"">460</td>]",83 435 руб.
"

                                    Стойка сушильная Норд 16                                 


Высота, мм
1900


Ширина, мм
960


Глубина, мм
610



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">960</td>, <td class=""bxr-props-table-value"">610</td>]",103 432 руб.
"

                                    Верстак Profi (№601) WT160.WD5/F1.000                                 


Высота, мм
866


Ширина, мм
1600


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1600</td>, <td class=""bxr-props-table-value"">700</td>]",32 523 руб.
"

                                    Верстак Garage №114                                 


Высота, мм
1420


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1420</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",9 566 руб.
"

                                    Инструментальный шкаф HARD 2000-004011                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",104 743 руб.
"

                                    Верстак Profi (№600) WT160.WD1/F1.000                                 


Высота, мм
866


Ширина, мм
1600


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1600</td>, <td class=""bxr-props-table-value"">700</td>]",23 582 руб.
"

                                    Полка для тележки HARD SK 40                                 


Высота, мм
20


Ширина, мм
700


Глубина, мм
150



","[<td class=""bxr-props-table-value"">20</td>, <td class=""bxr-props-table-value"">700</td>, <td class=""bxr-props-table-value"">150</td>]",1 745 руб.
"

                                    Комплект поддонов ШС Циклон 1965                                 


Высота, мм
390


Ширина, мм
430


Глубина, мм
25



","[<td class=""bxr-props-table-value"">390</td>, <td class=""bxr-props-table-value"">430</td>, <td class=""bxr-props-table-value"">25</td>]",1 390 руб.
"

                                    Верстак Profi (№ 202) WT120.WD5/F1.000                                 


Высота, мм
866


Ширина, мм
1200


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1200</td>, <td class=""bxr-props-table-value"">700</td>]",29 383 руб.
"

                                    Верстак Garage №115                                 


Высота, мм
1980


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1980</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",16 528 руб.
"

                                    Верстак Garage Set 1                                 


Высота, мм
1500


Ширина, мм
1000


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1500</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">500</td>]",12 559 руб.
"

                                    Инструментальная тележка WDS-7                                 


Высота, мм
738


Ширина, мм
750


Глубина, мм
453



","[<td class=""bxr-props-table-value"">738</td>, <td class=""bxr-props-table-value"">750</td>, <td class=""bxr-props-table-value"">453</td>]",35 841 руб.
"

                                    Инструментальный шкаф HARD  2000-004001                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",94 412 руб.
