title,availability,price,category,shop,weight
Медицинский стеллаж СТМ MS 185/100х30/4,1,4020.0,Медицинская мебель,Железная мебель,['13.4']
Медицинский стеллаж СТМ MS 185/100х60/4,1,5900.0,Медицинская мебель,Железная мебель,['21.3']
Шкаф для палат MF LH-2 1880 белый,1,10840.0,Медицинская мебель,Железная мебель,['67']
Картотечный шкаф МСК-831.04 (4 ящика),1,37390.0,Медицинская мебель,Железная мебель,['57']
Шкаф медицинский МСК-5647.12 (ШМ-02) нерж.сталь,1,111610.0,Медицинская мебель,Железная мебель,['48']
Шкаф медицинский М1 175.60.40 М,1,16210.0,Медицинская мебель,Железная мебель,['31']
Шкаф для белья,1,28330.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МСК-645.01 (ШМ-03) металл,1,28310.0,Медицинская мебель,Железная мебель,['41']
Шкаф медицинский HILFE МД 1 1760/SG,1,15340.0,Медицинская мебель,Железная мебель,['35.3']
Шкаф медицинский 4Hospitals МСК-645.01-11 (ШМ-03),1,43600.0,Медицинская мебель,Железная мебель,['48']
Шкаф для кабинета врача ШКВ-05,1,40340.0,Медицинская мебель,Железная мебель,[]
Шкаф для одежды МД-501.02 (ШМО-МСК),1,14330.0,Медицинская мебель,Железная мебель,['55']
Шкаф медицинский ШМД-06,1,35560.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-07,1,36830.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-04,1,33780.0,Медицинская мебель,Железная мебель,[]
Шкаф для белья и одежды МД-507.01 (ШМБО-МСК),1,12890.0,Медицинская мебель,Железная мебель,['50']
Шкаф материальный ШМ-03,1,26800.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский 4Hospitals МСК-642.12 (ШМ-01),1,49230.0,Медицинская мебель,Железная мебель,['42']
Шкаф для кабинета врача ШКВ-08,1,23680.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МСК-982.213 (ШМм-МСК),1,28950.0,Медицинская мебель,Железная мебель,['60']
Шкаф медицинский 4Hospitals МСК-653.12 (ШМ-01),1,84780.0,Медицинская мебель,Железная мебель,['63']
Шкаф медицинский ШМД-03,1,29550.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МСК-5646.12 (ШМ-01),1,82500.0,Медицинская мебель,Железная мебель,['40']
Шкаф для белья и одежды МД-502 (ШМБО-МСК),1,17140.0,Медицинская мебель,Железная мебель,['75']
Шкаф для белья и одежды МД-508.01 (ШМБО-МСК),1,12530.0,Медицинская мебель,Железная мебель,['50']
Шкаф для белья и одежды МД-503.02 (ШМБО-МСК),1,17350.0,Медицинская мебель,Железная мебель,['75']
Шкаф для одежды металлический разборный двухстворчатый на винтах МСК-981.232,1,30000.0,Медицинская мебель,Железная мебель,[]
Шкаф для документов и справочной литературы ШД-04,1,33510.0,Медицинская мебель,Железная мебель,[]
Шкаф для кабинета врача ШКВ-03,1,39870.0,Медицинская мебель,Железная мебель,[]
Шкаф для кабинета врача ШКВ-04,1,36590.0,Медицинская мебель,Железная мебель,[]
Шкаф палатный ШП-03,1,29550.0,Медицинская мебель,Железная мебель,[]
Кушетка медицинская МД КС (Слоновая кость),1,11710.0,Медицинская мебель,Железная мебель,['30']
Стол медицинский процедурный МД SP N,1,7550.0,Медицинская мебель,Железная мебель,['12']
Стол манипуляционный МД SM 1,1,12890.0,Медицинская мебель,Железная мебель,['18']
Стол процедурный МД SP 3N,1,11810.0,Медицинская мебель,Железная мебель,['11.5']
Стол палатный MF TH-85.16S (Белое дерево),1,6440.0,Медицинская мебель,Железная мебель,['18']
"Стол медицинский инструментальный СМИ-02 (полки металл, колёса пластик)",1,6540.0,Медицинская мебель,Железная мебель,['10']
Кушетка медицинская смотровая МД КС-01 (Слоновая кость),1,20510.0,Медицинская мебель,Железная мебель,['40']
Банкетка медицинская МД Б (Слоновая кость),1,7040.0,Медицинская мебель,Железная мебель,['15.3']
Кушетка смотровая КСВ-01С усиленная,1,10620.0,Медицинская мебель,Железная мебель,['25']
Стол процедурный МД SP 3G,1,7780.0,Медицинская мебель,Железная мебель,['15.7']
Стол процедурный МД SP 2G,1,6380.0,Медицинская мебель,Железная мебель,['12.8']
Стол манипуляционный МД SM N,1,4750.0,Медицинская мебель,Железная мебель,['10.1']
Стол процедурный МД SP 2N,1,8750.0,Медицинская мебель,Железная мебель,['8.9']
Стол манипуляционный МД SM 6,1,27510.0,Медицинская мебель,Железная мебель,['36.4']
Стол манипуляционный МД SM 2,1,19530.0,Медицинская мебель,Железная мебель,['27.8']
Стол хирургический МД СХ,1,7340.0,Медицинская мебель,Железная мебель,['9.4']
Столик туалетно-пеленальный МСК-510 (Белый),0,13840.0,Медицинская мебель,Железная мебель,['25']
"Столик медицинский инструментальный СМИ-03 (полки металл, колёса пластик) ",1,8250.0,Медицинская мебель,Железная мебель,['12']
"Стол медицинский инструментальный СМИ-03-01 (полки металл, колёса серая резина)",1,12410.0,Медицинская мебель,Железная мебель,['20.5']
Банкетка БМВ-01С,1,10780.0,Медицинская мебель,Железная мебель,['25']
Кушетка медицинская смотровая КСВ-01С,1,9720.0,Медицинская мебель,Железная мебель,['25']
Банкетка медицинская МСК-207 (БЛ-МСК),0,5660.0,Медицинская мебель,Железная мебель,['14']
Банкетка медицинская со спинкой МД БС (Слоновая кость),1,10660.0,Медицинская мебель,Железная мебель,['22.1']
Банкетка БМВ-01,1,7170.0,Медицинская мебель,Железная мебель,['15']
Банкетка медицинская МСК-216 (БЛ-МСК),0,4870.0,Медицинская мебель,Железная мебель,['11']
"Кушетка смотровая КС-1 (550х1950х600) (кожзам Эконом серый, каркас белый)",1,11330.0,Медицинская мебель,Железная мебель,[]
"Кушетка смотровая КС-1 (550х1950х800) (кожзам Эконом белый, каркас белый)",1,13080.0,Медицинская мебель,Железная мебель,[]
"Кушетка смотровая с рег. подголовником КС (1950х600х550) (кожзам Эконом бежевый, каркас белый)",1,12750.0,Медицинская мебель,Железная мебель,[]
Тумба медицинская ПРАКТИК МД ТП-1,1,7490.0,Медицинская мебель,Железная мебель,['16.5']
