title,price,category,shop,height,width,depth
Столик процедурный СП-02-6,"
Под заказ
",Медицинская мебель,4,930,800.0,570.0
Столик процедурный СП-02-4,"
Под заказ
",Медицинская мебель,4,950,875.0,455.0
Столик процедурный СП-02-9 Р,"
Под заказ
",Медицинская мебель,4,800,930.0,570.0
Столик процедурный ГУСЬ СП-01ГН4.В,"
Под заказ
",Медицинская мебель,4,900-1320,600.0,400.0
Столик процедурный СП-02-7Н,"
Под заказ
",Медицинская мебель,4,875,740.0,410.0
Столик процедурный СП-02-5Н,"
Под заказ
",Медицинская мебель,4,800,700.0,430.0
Столик для раскладки лекарств СП-01-2М,"
Под заказ
",Медицинская мебель,4,810,805.0,400.0
Столик процедурный СП-02-3,"
Под заказ
",Медицинская мебель,4,875,500.0,450.0
Столик процедурный СП-01Н,"
Под заказ
",Медицинская мебель,4,800,685.0,385.0
Столик процедурный СП-02-7,"
Под заказ
",Медицинская мебель,4,875,740.0,410.0
Столик процедурный СП-02-5,"
Под заказ
",Медицинская мебель,4,875,700.0,430.0
Столик процедурный СП-01-3Н,"
Под заказ
",Медицинская мебель,4,800,665.0,385.0
Столик процедурный СП-01-2К,"
Под заказ
",Медицинская мебель,4,810,805.0,400.0
Столик процедурный ГУСЬ СП-01ГН,"
Под заказ
",Медицинская мебель,4,770-1100,655.0,430.0
Столик процедурный СП-01-4,"
Под заказ
",Медицинская мебель,4,800,685.0,385.0
Столик процедурный СП-01,"
Под заказ
",Медицинская мебель,4,800,700.0,420.0
Столик процедурный СП-01-3C,"
Под заказ
",Медицинская мебель,4,800,700.0,400.0
Столик процедурный СП-01-3,"
Под заказ
",Медицинская мебель,4,800,700.0,400.0
Столик процедурный СП-01-2НC,"
Под заказ
",Медицинская мебель,4,800,665.0,385.0
Столик процедурный ГУСЬ СП-01Г,"
Под заказ
",Медицинская мебель,4,770-1100,655.0,430.0
Столик процедурный СП-01-2C,"
Под заказ
",Медицинская мебель,4,800,665.0,385.0
Стол манипуляционный МД SM N,"
 6 380 руб.
",Медицинская мебель,4,710/720,680.0,440.0
Стол процедурный МД SP 2G,"
 8 563 руб.
",Медицинская мебель,4,940,600.0,470.0
Стол медицинский процедурный МД SP N,"
 10 134 руб.
",Медицинская мебель,4,790/1150,700.0,410.0
